Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
77	-0.630763	0	2.9879e-03	0.0000e+00	1.6828e-14	0.0000e+00
78	-0.733773	0	2.9374e-03	0.0000e+00	1.4094e-14	0.0000e+00
79	-0.836784	0	2.8875e-03	0.0000e+00	1.1799e-14	0.0000e+00
80	-0.939794	0	2.8379e-03	0.0000e+00	9.8666e-15	0.0000e+00
81	-1.042804	0	2.7897e-03	0.0000e+00	8.2365e-15	0.0000e+00
82	-1.145815	0	2.7430e-03	0.0000e+00	6.8596e-15	0.0000e+00
83	-1.248825	0	2.6984e-03	0.0000e+00	5.6969e-15	0.0000e+00
84	-1.351835	0	2.6559e-03	0.0000e+00	4.7161e-15	0.0000e+00
85	-1.454846	0	2.6158e-03	0.0000e+00	3.8913e-15	0.0000e+00
86	-1.557856	0	2.5779e-03	0.0000e+00	3.2005e-15	0.0000e+00
87	-1.660866	0	2.5424e-03	0.0000e+00	2.6244e-15	0.0000e+00
88	-1.763876	0	2.5084e-03	0.0000e+00	2.1463e-15	0.0000e+00
89	-1.866887	0	2.4764e-03	0.0000e+00	1.7511e-15	0.0000e+00
90	-1.969897	0	2.4459e-03	0.0000e+00	1.4255e-15	0.0000e+00
91	-2.072907	0	2.4169e-03	0.0000e+00	1.1580e-15	0.0000e+00
92	-2.175918	0	2.3895e-03	0.0000e+00	9.3852e-16	0.0000e+00
93	-2.278928	0	2.3631e-03	0.0000e+00	7.5894e-16	0.0000e+00
94	-2.381938	0	2.3384e-03	0.0000e+00	6.1226e-16	0.0000e+00
95	-2.484949	0	2.3152e-03	0.0000e+00	4.9272e-16	0.0000e+00
96	-2.587959	0	2.2931e-03	0.0000e+00	3.9558e-16	0.0000e+00
97	-2.690969	0	2.2721e-03	0.0000e+00	3.1686e-16	0.0000e+00
98	-2.793979	0	2.2522e-03	0.0000e+00	2.5324e-16	0.0000e+00
99	-2.896990	0	2.2332e-03	0.0000e+00	2.0198e-16	0.0000e+00
100	-3.000000	0	2.2138e-03	0.0000e+00	1.6110e-16	0.0000e+00
