The photolysis STD number	1	rate at the top layer is	1.326423e-03
The photolysis STD number	2	rate at the top layer is	6.447929e-03
The photolysis STD number	3	rate at the top layer is	3.101708e+00
The photolysis STD number	4	rate at the top layer is	1.792887e+01
The photolysis STD number	5	rate at the top layer is	1.363851e+00
The photolysis STD number	6	rate at the top layer is	2.348247e-02
The photolysis STD number	7	rate at the top layer is	2.352150e-01
The photolysis STD number	20	rate at the top layer is	2.033235e-01
The photolysis STD number	21	rate at the top layer is	1.741903e-01
The photolysis STD number	22	rate at the top layer is	1.272297e-01
The photolysis STD number	23	rate at the top layer is	1.560259e-02
The photolysis STD number	24	rate at the top layer is	1.255926e-01
The photolysis STD number	27	rate at the top layer is	3.034377e-02
The photolysis STD number	28	rate at the top layer is	6.502237e-03
The photolysis STD number	29	rate at the top layer is	6.502237e-03
The photolysis STD number	32	rate at the top layer is	8.790254e-03
The photolysis STD number	33	rate at the top layer is	1.136301e-02
The photolysis STD number	34	rate at the top layer is	1.286379e-03
The photolysis STD number	35	rate at the top layer is	1.199689e-04
The photolysis STD number	36	rate at the top layer is	2.836592e-05
The photolysis STD number	37	rate at the top layer is	7.377337e-04
The photolysis STD number	38	rate at the top layer is	0.000000e+00
The photolysis STD number	40	rate at the top layer is	2.674393e-02
The photolysis STD number	56	rate at the top layer is	6.218154e-02
The photolysis STD number	57	rate at the top layer is	4.879708e+01
The photolysis STD number	58	rate at the top layer is	3.112805e-02
The photolysis STD number	59	rate at the top layer is	3.891006e-02
The photolysis STD number	60	rate at the top layer is	7.782012e-03
The photolysis STD number	61	rate at the top layer is	2.091723e+00
The photolysis STD number	62	rate at the top layer is	3.916784e-03
The photolysis STD number	63	rate at the top layer is	8.672878e-03
The photolysis STD number	64	rate at the top layer is	7.553797e-03
The photolysis STD number	65	rate at the top layer is	6.154946e-03
The photolysis STD number	66	rate at the top layer is	1.678622e-03
