X3	2.032289e+25	2.051223e-03
X53	7.183834e+24	7.250764e-04
X1	3.158491e+24	3.187918e-04
X56	3.451673e+11	3.483832e-17
X54	2.042033e+23	2.061058e-05
X2	3.862619e+09	3.898606e-19
X4	1.958660e+24	1.976908e-04
X5	2.095933e+10	2.115460e-18
X7	1.395272e+24	1.408271e-04
X6	4.613905e+09	4.656892e-19
X52	4.523175e+06	4.565316e-22
X20	1.927385e+08	1.945342e-20
X22	9.575370e+03	9.664581e-25
X61	1.639603e+04	1.654878e-24
X19	8.773514e+03	8.855255e-25
X58	8.520819e+03	8.600206e-25
X59	8.612968e+03	8.693213e-25
X80	1.738010e-12	1.754202e-40
X60	8.742376e+03	8.823827e-25
X21	8.702223e+03	8.783300e-25
X62	7.510737e-10	7.580713e-38
X24	1.875647e-10	1.893122e-38
X63	3.812734e-08	3.848256e-36
X23	7.995358e-05	8.069849e-33
X71	6.887813e-13	6.951985e-41
X25	4.256920e-10	4.296581e-38
X26	6.840698e+03	6.904432e-25
X64	7.235760e+03	7.303174e-25
X27	7.346421e+03	7.414866e-25
X28	2.845267e-11	2.871776e-39
X29	6.893008e+03	6.957229e-25
X30	1.248748e-11	1.260382e-39
X31	3.595622e-27	3.629121e-55
X32	3.750205e-13	3.785145e-41
X33	1.635329e-13	1.650565e-41
X34	1.144730e-12	1.155396e-40
X35	7.688540e-27	7.760172e-55
X36	4.203662e-27	4.242827e-55
X55	9.828755e+27	9.920327e-01
X8	3.161917e+25	3.191376e-03
X9	4.447301e+20	4.488735e-08
X10	4.228381e+21	4.267776e-07
X57	3.802962e+22	3.838393e-06
X11	1.652617e+22	1.668014e-06
X12	1.271544e+25	1.283391e-03
X13	7.361033e+20	7.429615e-08
X14	1.142033e+15	1.152673e-13
X15	0.000000e+00	0.000000e+00
X16	3.707195e+21	3.741735e-07
X17	1.742146e+19	1.758377e-09
X18	4.134460e+14	4.172980e-14
X70	0.000000e+00	0.000000e+00
X37	4.141617e+04	4.180204e-24
X38	3.165048e+04	3.194536e-24
X39	1.254236e+04	1.265922e-24
X72	1.193280e+04	1.204397e-24
X65	0.000000e+00	0.000000e+00
X66	0.000000e+00	0.000000e+00
X109	0.000000e+00	0.000000e+00
X67	0.000000e+00	0.000000e+00
X110	0.000000e+00	0.000000e+00
X106	0.000000e+00	0.000000e+00
X107	0.000000e+00	0.000000e+00
X108	0.000000e+00	0.000000e+00
