#Solar element abundances lodders 2020
e-  0.00
Al	6.4500
C	8.4300
Ca	6.3400
Fe	7.5000
H   12.00          
He	10.9300
K	5.0300
Mg	7.6000
N	7.8300
Na	6.2400
O	8.6900
P	5.4100
S	7.1200
Si	7.5100
Ti	4.9500
V   -8.000
