Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
77	-0.630763	0	2.8383e-03	0.0000e+00	1.4270e-15	0.0000e+00
78	-0.733773	0	2.8465e-03	0.0000e+00	1.1941e-15	0.0000e+00
79	-0.836784	0	2.8533e-03	0.0000e+00	9.9881e-16	0.0000e+00
80	-0.939794	0	2.8581e-03	0.0000e+00	8.3487e-16	0.0000e+00
81	-1.042804	0	2.8600e-03	0.0000e+00	6.9724e-16	0.0000e+00
82	-1.145815	0	2.8583e-03	0.0000e+00	5.8173e-16	0.0000e+00
83	-1.248825	0	2.8528e-03	0.0000e+00	4.8482e-16	0.0000e+00
84	-1.351835	0	2.8431e-03	0.0000e+00	4.0359e-16	0.0000e+00
85	-1.454846	0	2.8292e-03	0.0000e+00	3.3558e-16	0.0000e+00
86	-1.557856	0	2.8111e-03	0.0000e+00	2.7867e-16	0.0000e+00
87	-1.660866	0	2.7890e-03	0.0000e+00	2.3112e-16	0.0000e+00
88	-1.763876	0	2.7631e-03	0.0000e+00	1.9146e-16	0.0000e+00
89	-1.866887	0	2.7336e-03	0.0000e+00	1.5841e-16	0.0000e+00
90	-1.969897	0	2.7009e-03	0.0000e+00	1.3090e-16	0.0000e+00
91	-2.072907	0	2.6651e-03	0.0000e+00	1.0803e-16	0.0000e+00
92	-2.175918	0	2.6266e-03	0.0000e+00	8.9045e-17	0.0000e+00
93	-2.278928	0	2.5856e-03	0.0000e+00	7.3302e-17	0.0000e+00
94	-2.381938	0	2.5425e-03	0.0000e+00	6.0269e-17	0.0000e+00
95	-2.484949	0	2.4975e-03	0.0000e+00	4.9494e-17	0.0000e+00
96	-2.587959	0	2.4507e-03	0.0000e+00	4.0592e-17	0.0000e+00
97	-2.690969	0	2.4024e-03	0.0000e+00	3.3252e-17	0.0000e+00
98	-2.793979	0	2.3529e-03	0.0000e+00	2.7202e-17	0.0000e+00
99	-2.896990	0	2.3022e-03	0.0000e+00	2.2225e-17	0.0000e+00
100	-3.000000	0	2.2515e-03	0.0000e+00	1.8143e-17	0.0000e+00
