Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
77	-0.630763	0	1.6827e-03	0.0000e+00	2.0941e-13	0.0000e+00
78	-0.733773	0	1.6609e-03	0.0000e+00	1.6957e-13	0.0000e+00
79	-0.836784	0	1.6399e-03	0.0000e+00	1.3729e-13	0.0000e+00
80	-0.939794	0	1.6187e-03	0.0000e+00	1.1119e-13	0.0000e+00
81	-1.042804	0	1.5970e-03	0.0000e+00	9.0132e-14	0.0000e+00
82	-1.145815	0	1.5750e-03	0.0000e+00	7.3115e-14	0.0000e+00
83	-1.248825	0	1.5535e-03	0.0000e+00	5.9345e-14	0.0000e+00
84	-1.351835	0	1.5310e-03	0.0000e+00	4.8176e-14	0.0000e+00
85	-1.454846	0	1.5097e-03	0.0000e+00	3.9099e-14	0.0000e+00
86	-1.557856	0	1.4885e-03	0.0000e+00	3.1720e-14	0.0000e+00
87	-1.660866	0	1.4681e-03	0.0000e+00	2.5721e-14	0.0000e+00
88	-1.763876	0	1.4475e-03	0.0000e+00	2.0857e-14	0.0000e+00
89	-1.866887	0	1.4273e-03	0.0000e+00	1.6919e-14	0.0000e+00
90	-1.969897	0	1.4069e-03	0.0000e+00	1.3733e-14	0.0000e+00
91	-2.072907	0	1.3862e-03	0.0000e+00	1.1153e-14	0.0000e+00
92	-2.175918	0	1.3660e-03	0.0000e+00	9.0581e-15	0.0000e+00
93	-2.278928	0	1.3462e-03	0.0000e+00	7.3522e-15	0.0000e+00
94	-2.381938	0	1.3279e-03	0.0000e+00	5.9593e-15	0.0000e+00
95	-2.484949	0	1.3102e-03	0.0000e+00	4.8201e-15	0.0000e+00
96	-2.587959	0	1.2948e-03	0.0000e+00	3.8890e-15	0.0000e+00
97	-2.690969	0	1.2813e-03	0.0000e+00	3.1290e-15	0.0000e+00
98	-2.793979	0	1.2697e-03	0.0000e+00	2.5104e-15	0.0000e+00
99	-2.896990	0	1.2592e-03	0.0000e+00	2.0087e-15	0.0000e+00
100	-3.000000	0	1.2495e-03	0.0000e+00	1.6074e-15	0.0000e+00
