Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
77	-0.630763	0	2.2288e-03	0.0000e+00	1.6988e-18	0.0000e+00
78	-0.733773	0	2.2289e-03	0.0000e+00	1.3148e-18	0.0000e+00
79	-0.836784	0	2.2289e-03	0.0000e+00	1.0222e-18	0.0000e+00
80	-0.939794	0	2.2290e-03	0.0000e+00	7.9626e-19	0.0000e+00
81	-1.042804	0	2.2291e-03	0.0000e+00	6.2611e-19	0.0000e+00
82	-1.145815	0	2.2292e-03	0.0000e+00	4.9444e-19	0.0000e+00
83	-1.248825	0	2.2292e-03	0.0000e+00	3.9620e-19	0.0000e+00
84	-1.351835	0	2.2294e-03	0.0000e+00	3.2005e-19	0.0000e+00
85	-1.454846	0	2.2294e-03	0.0000e+00	2.6163e-19	0.0000e+00
86	-1.557856	0	2.2296e-03	0.0000e+00	2.1644e-19	0.0000e+00
87	-1.660866	0	2.2297e-03	0.0000e+00	1.8090e-19	0.0000e+00
88	-1.763876	0	2.2298e-03	0.0000e+00	1.5276e-19	0.0000e+00
89	-1.866887	0	2.2299e-03	0.0000e+00	1.2971e-19	0.0000e+00
90	-1.969897	0	2.2302e-03	0.0000e+00	1.1140e-19	0.0000e+00
91	-2.072907	0	2.2302e-03	0.0000e+00	9.6128e-20	0.0000e+00
92	-2.175918	0	2.2303e-03	0.0000e+00	8.3761e-20	0.0000e+00
93	-2.278928	0	2.2305e-03	0.0000e+00	7.3830e-20	0.0000e+00
94	-2.381938	0	2.2306e-03	0.0000e+00	6.6206e-20	0.0000e+00
95	-2.484949	0	2.2307e-03	0.0000e+00	6.0787e-20	0.0000e+00
96	-2.587959	0	2.2308e-03	0.0000e+00	5.8074e-20	0.0000e+00
97	-2.690969	0	2.2308e-03	0.0000e+00	5.8315e-20	0.0000e+00
98	-2.793979	0	2.2306e-03	0.0000e+00	6.2356e-20	0.0000e+00
99	-2.896990	0	2.2301e-03	0.0000e+00	7.1453e-20	0.0000e+00
100	-3.000000	0	2.2289e-03	0.0000e+00	8.0576e-20	0.0000e+00
