Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
80	412.540138	-0.939794	808.107419	 -0.026010	0	8.873333e-01
81	415.570977	-1.042804	799.528999	 -0.009419	0	8.873333e-01
82	418.570185	-1.145815	791.341155	 -0.008721	0	8.873333e-01
83	421.539305	-1.248825	783.585351	 -0.011922	0	8.873333e-01
84	424.480073	-1.351835	776.308956	 -0.012667	0	8.873333e-01
85	427.394492	-1.454846	769.617458	 -0.000461	0	8.873333e-01
86	430.284977	-1.557856	763.619502	 -0.004222	0	8.873333e-01
87	433.154305	-1.660866	758.402176	 -0.008445	0	8.873333e-01
88	436.005496	-1.763876	754.004812	  0.008999	0	8.873333e-01
89	438.841620	-1.866887	750.411776	 -0.001091	0	8.873333e-01
90	441.665613	-1.969897	747.575038	 -0.005482	0	8.873333e-01
91	444.480260	-2.072907	745.450895	  0.003612	0	8.873333e-01
92	447.288225	-2.175918	744.026593	  0.014346	0	8.873333e-01
93	450.092187	-2.278928	743.325176	 -0.012549	0	8.873333e-01
94	452.894994	-2.381938	743.410753	 -0.009705	0	8.873333e-01
95	455.699946	-2.484949	744.453329	 -0.011106	0	8.873333e-01
96	458.511411	-2.587959	746.853857	 -0.041188	0	8.873333e-01
97	461.335826	-2.690969	751.304898	 -0.015310	0	8.873333e-01
98	464.184984	-2.793979	759.943836	  0.078601	0	8.873333e-01
99	467.087889	-2.896990	779.724248	 -0.941707	0	8.873333e-01
100	470.135331	-3.000000	836.427385	  0.885725	0	8.873333e-01
