Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
77	-0.630763	0	2.2202e-03	0.0000e+00	1.3428e-17	0.0000e+00
78	-0.733773	0	2.2209e-03	0.0000e+00	1.0756e-17	0.0000e+00
79	-0.836784	0	2.2215e-03	0.0000e+00	8.6198e-18	0.0000e+00
80	-0.939794	0	2.2220e-03	0.0000e+00	6.9149e-18	0.0000e+00
81	-1.042804	0	2.2225e-03	0.0000e+00	5.5464e-18	0.0000e+00
82	-1.145815	0	2.2230e-03	0.0000e+00	4.4651e-18	0.0000e+00
83	-1.248825	0	2.2234e-03	0.0000e+00	3.5941e-18	0.0000e+00
84	-1.351835	0	2.2237e-03	0.0000e+00	2.9016e-18	0.0000e+00
85	-1.454846	0	2.2240e-03	0.0000e+00	2.3534e-18	0.0000e+00
86	-1.557856	0	2.2243e-03	0.0000e+00	1.9165e-18	0.0000e+00
87	-1.660866	0	2.2245e-03	0.0000e+00	1.5695e-18	0.0000e+00
88	-1.763876	0	2.2246e-03	0.0000e+00	1.2944e-18	0.0000e+00
89	-1.866887	0	2.2245e-03	0.0000e+00	1.0747e-18	0.0000e+00
90	-1.969897	0	2.2245e-03	0.0000e+00	8.9769e-19	0.0000e+00
91	-2.072907	0	2.2244e-03	0.0000e+00	7.5652e-19	0.0000e+00
92	-2.175918	0	2.2241e-03	0.0000e+00	6.4082e-19	0.0000e+00
93	-2.278928	0	2.2238e-03	0.0000e+00	5.4696e-19	0.0000e+00
94	-2.381938	0	2.2234e-03	0.0000e+00	4.7019e-19	0.0000e+00
95	-2.484949	0	2.2228e-03	0.0000e+00	4.0812e-19	0.0000e+00
96	-2.587959	0	2.2219e-03	0.0000e+00	3.5760e-19	0.0000e+00
97	-2.690969	0	2.2207e-03	0.0000e+00	3.1996e-19	0.0000e+00
98	-2.793979	0	2.2186e-03	0.0000e+00	2.9656e-19	0.0000e+00
99	-2.896990	0	2.2133e-03	0.0000e+00	3.0336e-19	0.0000e+00
100	-3.000000	0	2.2058e-03	0.0000e+00	3.1105e-19	0.0000e+00
