19	19	26	0
19	53	59	0
60	60	31	0
60	54	71	0
20	58	32	0
20	60	34	0
3	27	28	0
3	33	34	0
3	29	30	0
3	61	22	0
3	38	37	0
3	20	61	0
3	3	53	0
3	10	9	0
3	12	16	0
3	1	4	0
3	54	5	0
3	4	7	0
5	5	6	54
5	13	70	0
46	54	48	0
8	19	38	0
8	3	57	0
8	53	10	0
8	8	55	0
8	1	12	0
12	62	65	0
13	62	66	0
13	14	15	0
1	19	20	0
1	20	52	0
1	12	13	0
1	13	14	0
1	1	54	0
1	54	2	0
56	55	11	0
4	27	34	0
4	29	36	0
4	20	63	0
10	28	110	0
4	18	7	14
4	12	17	0
4	13	18	0
4	4	6	0
40	40	41	0
42	1	43	0
42	4	48	0
43	3	48	0
43	1	44	0
43	4	68	0
3	42	47	0
40	41	76	0
40	76	77	0
41	41	77	0
77	77	79	0
3	59	60	0
3	60	21	0
3	30	31	0
3	81	82	0
3	82	83	0
3	82	84	0
3	83	60	27
3	83	85	0
3	84	60	27
3	84	85	0
3	85	86	0
3	86	87	0
3	87	88	0
3	88	87	53
3	90	91	0
3	93	94	0
3	101	102	0
58	53	60	0
60	28	86	0
60	30	88	0
60	82	94	0
60	82	95	0
60	85	97	0
60	86	98	0
60	87	99	0
28	27	93	0
28	28	96	0
28	30	97	0
30	30	99	0
10	10	108	0
10	60	109	0
4	60	24	0
4	60	80	7
4	60	62	3
4	60	22	53
