54	1	1	0	4	245	2	1
54	1	56	0	4	245	2	2
2	54	1	0	110	1070	2	1
2	54	56	0	110	1070	2	2
5	1	4	0	190	260	1	1
7	3	4	0	6	240	1	1
6	4	4	0	190	350	1	1
13	12	1	0	16	910	1	1
14	12	54	0	403	691	2	1
14	13	1	0	403	691	2	2
11	55	56	0	130	240	1	1
15	14	13	0	200	410	2	1
15	14	12	1	200	410	2	2
17	12	4	0	184	396	1	1
18	13	4	0	105	350	3	1
18	17	1	0	105	350	3	2
18	17	56	0	105	350	3	3
70	13	5	0	190	350	2	1
70	14	4	0	190	350	2	2
22	61	3	0	226	375	2	1
22	20	53	0	226	375	2	2
35	61	60	0	202	360	2	1
35	20	21	0	202	360	2	2
25	62	4	0	210	405	1	1
65	62	12	0	190	440	1	1
66	62	13	0	190	344	1	1
23	61	4	0	195	250	3	1
23	63	3	0	195	250	3	2
23	7	20	0	195	250	3	3
44	43	1	0	140	330	1	1
49	20	40	0	186	296	1	1
21	60	3	0	52	152	3	1
21	80	53	0	52	152	3	2
21	58	53	3	52	152	3	3
20	19	1	0	6	177	1	1
52	20	1	0	35	270	2	1
52	20	56	0	35	270	2	2
53	3	3	0	18	124	1	1
55	8	8	0	6	108	1	1
24	62	3	0	16	220	1	1
37	3	38	0	133	145	1	1
9	10	3	0	8	230	2	1
9	57	53	0	8	230	2	2
12	8	1	0	7	227	1	1
45	46	3	0	5	260	1	1
43	42	1	0	5	395	3	1
43	74	0	0	5	395	3	2
43	75	0	0	5	395	3	3
47	46	1	0	190	260	1	1
73	44	7	0	118	735	1	1
42	40	1	0	100	235	1	1
41	40	40	0	0	0	1	1
76	41	40	0	350	475	1	1
77	41	41	0	425	575	1	1
79	77	77	0	425	575	1	1
27	64	3	0	6	236	1	1
28	27	3	0	225	446	1	1
29	27	53	0	50	209	3	1
29	27	3	3	50	209	3	2
29	28	3	0	50	209	3	3
30	60	80	0	200	260	1	1
31	29	53	0	13	160	5	1
31	29	3	3	13	160	5	2
31	27	53	53	13	160	5	3
31	21	80	0	13	160	5	4
31	60	60	0	13	160	5	5
106	55	53	0	191	291	1	1
108	107	3	0	191	291	1	1
109	37	53	53	5	247	1	1
110	37	60	3	111	213	1	1
16	12	3	0	184	396	1	1
