The photolysis STD number	1	rate at the top layer is	5.303747e-05
The photolysis STD number	2	rate at the top layer is	2.525568e-04
The photolysis STD number	3	rate at the top layer is	1.265469e-01
The photolysis STD number	4	rate at the top layer is	7.315635e-01
The photolysis STD number	5	rate at the top layer is	5.565057e-02
The photolysis STD number	6	rate at the top layer is	9.472852e-04
The photolysis STD number	7	rate at the top layer is	9.597711e-03
The photolysis STD number	20	rate at the top layer is	8.296414e-03
The photolysis STD number	21	rate at the top layer is	7.107660e-03
The photolysis STD number	22	rate at the top layer is	5.191480e-03
The photolysis STD number	23	rate at the top layer is	6.366483e-04
The photolysis STD number	24	rate at the top layer is	5.124679e-03
The photolysis STD number	27	rate at the top layer is	1.238147e-03
The photolysis STD number	28	rate at the top layer is	2.653173e-04
The photolysis STD number	29	rate at the top layer is	2.653173e-04
The photolysis STD number	32	rate at the top layer is	3.521190e-04
The photolysis STD number	33	rate at the top layer is	4.551782e-04
The photolysis STD number	34	rate at the top layer is	5.152961e-05
The photolysis STD number	35	rate at the top layer is	4.343664e-06
The photolysis STD number	36	rate at the top layer is	1.155948e-06
The photolysis STD number	37	rate at the top layer is	2.803814e-05
The photolysis STD number	38	rate at the top layer is	0.000000e+00
The photolysis STD number	40	rate at the top layer is	1.073153e-03
The photolysis STD number	56	rate at the top layer is	2.488033e-03
The photolysis STD number	57	rate at the top layer is	1.991116e+00
The photolysis STD number	58	rate at the top layer is	1.255011e-03
The photolysis STD number	59	rate at the top layer is	1.568763e-03
The photolysis STD number	60	rate at the top layer is	3.137527e-04
The photolysis STD number	61	rate at the top layer is	8.535068e-02
The photolysis STD number	62	rate at the top layer is	1.564196e-04
The photolysis STD number	63	rate at the top layer is	3.463577e-04
The photolysis STD number	64	rate at the top layer is	3.016664e-04
The photolysis STD number	65	rate at the top layer is	2.458023e-04
The photolysis STD number	66	rate at the top layer is	6.703698e-05
