Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
93	1748.816203	-0.682268	26.611399	0.312440	0	0	0	0.000000e+00	211.183695
94	1759.869018	-0.768110	26.602398	0.312546	0	0	0	0.000000e+00	210.039797
95	1770.861831	-0.853952	26.593478	0.312651	0	0	0	0.000000e+00	208.897665
96	1781.791797	-0.939794	26.584126	0.312761	0	0	0	0.000000e+00	207.704928
97	1792.654158	-1.025636	26.574085	0.312879	0	0	0	0.000000e+00	206.419274
98	1803.443412	-1.111478	26.563202	0.313007	0	0	0	0.000000e+00	205.030395
99	1814.155928	-1.197320	26.551798	0.313142	0	0	0	0.000000e+00	203.569752
100	1824.790759	-1.283162	26.540238	0.313278	0	0	0	0.000000e+00	202.095126
101	1835.348269	-1.369004	26.528744	0.313414	0	0	0	0.000000e+00	200.624512
102	1845.826227	-1.454846	26.529100	0.313409	0	0	0	0.000000e+00	199.115117
103	1856.224080	-1.540687	26.538317	0.313301	0	0	0	0.000000e+00	197.588012
104	1866.545019	-1.626529	26.547004	0.313198	0	0	0	0.000000e+00	196.128390
105	1876.794950	-1.712371	26.555022	0.313104	0	0	0	0.000000e+00	194.780042
106	1886.975864	-1.798213	26.562886	0.313011	0	0	0	0.000000e+00	193.467121
107	1897.083689	-1.884055	26.571191	0.312913	0	0	0	0.000000e+00	192.078228
108	1907.106135	-1.969897	26.580837	0.312799	0	0	0	0.000000e+00	190.457117
109	1917.019349	-2.055739	26.593379	0.312652	0	0	0	0.000000e+00	188.376693
110	1926.791745	-2.141581	26.609301	0.312465	0	0	0	0.000000e+00	185.701203
111	1936.394294	-2.227423	26.628645	0.312238	0	0	0	0.000000e+00	182.469689
112	1945.812516	-2.313265	26.649486	0.311994	0	0	0	0.000000e+00	178.966343
113	1955.061262	-2.399107	26.668774	0.311768	0	0	0	0.000000e+00	175.736021
114	1964.196680	-2.484949	26.681360	0.311621	0	0	0	0.000000e+00	173.576260
115	1973.333424	-2.570790	26.680890	0.311626	0	0	0	0.000000e+00	173.578566
116	1982.651632	-2.656632	26.659637	0.311875	0	0	0	0.000000e+00	176.995912
117	1992.375472	-2.742474	26.612831	0.312423	0	0	0	0.000000e+00	184.664412
118	2002.643274	-2.828316	26.550269	0.313160	0	0	0	0.000000e+00	194.960792
119	2013.496347	-2.914158	26.566705	0.312966	0	0	0	0.000000e+00	206.050984
120	2024.660598	-3.000000	26.612394	0.312429	0	0	0	0.000000e+00	211.939854
