Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
106	1886.975864	-1.798213	192.798499	 -0.001875	1	8.580140e-04
107	1897.083689	-1.884055	191.357957	  0.001253	1	1.731402e-02
108	1907.106135	-1.969897	189.556277	 -0.012573	1	2.576954e-05
109	1917.019349	-2.055739	187.197110	  0.000678	1	1.049335e-02
110	1926.791745	-2.141581	184.205297	 -0.000872	1	7.015759e-05
111	1936.394294	-2.227423	180.734082	 -0.000103	1	1.415723e-03
112	1945.812516	-2.313265	177.198603	  0.000019	1	5.200085e-04
113	1955.061262	-2.399107	174.273440	 -0.000819	1	1.157600e-04
114	1964.196680	-2.484949	172.879081	 -0.000553	1	5.200085e-04
115	1973.333424	-2.570790	174.278051	 -0.009911	1	5.200085e-04
116	1982.651632	-2.656632	179.713773	  0.000194	1	1.049335e-02
117	1992.375472	-2.742474	189.615051	 -0.001434	1	2.576954e-05
118	2002.643274	-2.828316	200.306533	  0.000118	1	6.359605e-03
119	2013.496347	-2.914158	211.795435	 -0.000935	1	9.465398e-06
120	2024.660598	-3.000000	212.084274	  0.000035	1	3.854306e-03
