Num	Type	Reaction Num.
1	P	1
2	P	2
3	P	3
4	P	4
5	P	5
6	P	6
7	P	7
8	P	20
9	P	21
10	P	22
11	P	23
12	P	24
13	P	27
14	P	28
15	P	29
16	P	32
17	P	33
18	P	34
19	P	35
20	P	36
21	P	37
22	P	38
23	P	40
24	P	56
25	P	57
26	P	58
27	P	59
28	P	60
29	P	61
30	P	62
31	P	63
32	P	64
33	P	65
34	P	66
35	R	1
36	R	6
37	R	9
38	R	11
39	R	12
40	R	13
41	R	14
42	R	18
43	R	21
44	R	22
45	R	26
46	R	27
47	R	28
48	R	30
49	R	31
50	R	32
51	R	33
52	R	34
53	R	35
54	R	36
55	R	37
56	R	38
57	R	39
58	R	42
59	R	43
60	R	44
61	R	45
62	R	46
63	R	47
64	R	48
65	R	49
66	R	50
67	R	51
68	R	52
69	R	53
70	R	54
71	R	58
72	R	59
73	R	60
74	R	61
75	R	63
76	R	64
77	R	65
78	R	66
79	R	67
80	R	68
81	R	69
82	R	70
83	R	71
84	R	73
85	R	74
86	R	75
87	R	76
88	R	77
89	R	78
90	R	79
91	R	80
92	R	81
93	R	82
94	R	83
95	R	84
96	R	85
97	R	86
98	R	87
99	R	91
100	R	93
101	R	95
102	R	97
103	R	108
104	R	109
105	R	110
106	R	111
107	R	112
108	R	113
109	R	114
110	R	118
111	R	123
112	R	127
113	R	128
114	R	130
115	R	131
116	R	132
117	R	133
118	R	134
119	R	136
120	R	137
121	R	138
122	R	140
123	R	141
124	R	142
125	R	143
126	R	144
127	R	145
128	R	146
130	R	148
131	R	149
132	R	152
133	R	153
134	R	154
135	R	155
136	R	156
137	R	157
138	R	158
139	R	159
140	R	160
141	R	162
142	R	167
143	R	168
144	R	180
145	R	181
146	R	182
147	R	192
148	R	195
149	R	196
150	R	197
151	R	199
152	R	200
153	R	205
154	R	214
155	R	215
156	R	217
157	R	218
158	R	221
159	R	222
160	R	223
161	R	224
162	R	225
163	R	226
164	R	227
165	R	244
166	R	245
167	R	246
168	R	247
169	R	248
170	R	250
171	R	251
172	R	254
173	R	257
174	R	261
175	R	388
176	R	389
177	R	390
178	R	391
179	R	393
180	R	394
181	R	395
182	R	396
183	R	397
184	R	398
185	R	399
186	R	400
187	R	401
188	R	402
189	R	403
190	R	404
191	R	405
192	R	406
193	R	407
194	R	408
195	R	409
196	R	410
197	R	411
198	R	412
199	R	413
200	R	414
201	R	415
202	R	416
203	R	419
204	R	420
205	R	421
206	R	422
207	R	423
208	R	424
209	R	425
210	R	426
211	R	427
212	R	428
213	R	433
214	R	434
215	R	441
216	R	444
217	R	445
218	R	447
219	R	448
220	R	449
221	R	450
222	R	451
223	R	452
224	R	453
225	R	454
226	R	455
227	R	456
228	R	464
229	R	465
230	R	466
231	R	468
232	R	469
233	R	470
234	R	471
235	R	472
236	R	476
237	R	477
238	R	478
239	R	479
240	R	481
241	R	482
242	R	483
243	R	484
244	R	485
245	R	486
246	R	487
247	R	488
248	R	489
249	R	490
250	R	492
251	R	493
252	R	494
253	R	496
254	R	497
255	R	499
256	R	500
257	R	501
258	R	502
259	R	503
260	R	504
261	R	505
262	R	511
263	R	512
264	R	513
265	R	522
266	R	525
267	R	526
268	R	561
269	R	596
270	R	597
271	R	598
272	R	599
273	R	608
274	R	617
275	R	618
276	R	645
277	M	1
278	M	2
279	M	3
280	M	4
281	M	5
282	M	6
283	M	7
284	M	8
285	M	9
286	M	10
287	M	12
288	M	13
289	M	16
290	M	17
291	M	18
292	M	19
293	M	30
294	M	31
295	M	34
296	M	35
297	M	37
298	M	38
299	M	44
300	M	56
301	M	57
302	M	58
303	M	73
304	M	87
305	T	14
306	T	15
307	T	16
308	T	17
309	T	18
310	T	21
311	T	22
312	T	23
313	T	24
314	T	30
315	T	34
316	T	35
317	T	36
319	T	49
320	M	88
321	M	89
322	M	90
323	T	47	
