#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	8.000000	2079.482352
inf	7.908333	2028.149340
inf	7.816667	1975.681074
inf	7.725000	1924.968506
inf	7.633333	1874.150304
inf	7.541667	1832.208753
inf	7.450000	1790.378309
inf	7.358333	1751.307077
inf	7.266667	1709.358711
inf	7.175000	1669.259469
inf	7.083333	1629.776451
inf	6.991667	1592.018042
inf	6.900000	1555.322111
inf	6.808333	1520.000815
inf	6.716667	1486.622316
inf	6.625000	1455.087713
inf	6.533333	1425.405489
inf	6.441667	1396.723552
inf	6.350000	1369.051975
inf	6.258333	1341.979172
inf	6.166667	1315.148074
inf	6.075000	1288.108833
inf	5.983333	1260.349929
inf	5.891667	1231.517006
inf	5.800000	1201.337994
inf	5.708333	1169.690442
inf	5.616667	1136.527934
inf	5.525000	1101.855443
inf	5.433333	1065.626865
inf	5.341667	1027.827986
inf	5.250000	988.303170
inf	5.158333	947.140467
inf	5.066667	904.689720
inf	4.975000	861.051379
inf	4.883333	815.870209
inf	4.791667	769.634886
inf	4.700000	723.320050
inf	4.608333	678.875080
inf	4.516667	636.721170
inf	4.425000	597.364743
inf	4.333333	560.674577
inf	4.241667	526.513605
inf	4.150000	495.630651
inf	4.058333	468.618594
inf	3.966667	445.057570
inf	3.875000	423.204467
inf	3.783333	401.640369
inf	3.691667	380.316764
inf	3.600000	359.854784
inf	3.508333	340.995664
inf	3.416667	324.641446
inf	3.325000	311.346825
inf	3.233333	301.135775
inf	3.141667	293.779972
inf	3.050000	288.919829
inf	2.958333	285.537174
inf	2.866667	282.798654
inf	2.775000	279.968841
inf	2.683333	277.185181
inf	2.591667	274.446309
inf	2.500000	271.748560
inf	2.408333	269.140832
inf	2.316667	266.802145
inf	2.225000	265.133923
inf	2.133333	264.858510
inf	2.041667	265.937283
inf	1.950000	267.246588
inf	1.858333	267.998782
inf	1.766667	268.048672
inf	1.675000	268.166507
inf	1.583333	268.465662
inf	1.491667	269.094746
inf	1.400000	270.178505
inf	1.308333	271.835899
inf	1.216667	274.192593
inf	1.125000	277.287211
inf	1.033333	280.461968
inf	0.941667	282.822245
inf	0.850000	284.049233
inf	0.758333	284.497701
inf	0.666667	284.728936
inf	0.575000	284.784226
inf	0.483333	284.695880
inf	0.391667	284.495964
inf	0.300000	284.251202
inf	0.208333	284.059907
inf	0.116667	283.972499
inf	0.025000	283.857713
inf	-0.066667	283.531243
inf	-0.158333	282.983231
inf	-0.250000	282.406246
inf	-0.341667	282.038547
inf	-0.433333	281.973451
inf	-0.525000	282.217868
inf	-0.616667	282.689534
inf	-0.708333	283.239853
inf	-0.800000	283.690516
inf	-0.891667	283.873687
inf	-0.983333	283.655848
inf	-1.075000	282.953065
inf	-1.166667	281.730919
inf	-1.258333	279.993290
inf	-1.350000	277.769313
inf	-1.441667	275.111730
inf	-1.533333	272.101026
inf	-1.625000	268.833765
inf	-1.716667	265.409471
inf	-1.808333	261.922592
inf	-1.900000	258.459858
inf	-1.991667	255.097923
inf	-2.083333	251.897030
inf	-2.175000	248.891448
inf	-2.266667	246.081928
inf	-2.358333	243.432232
inf	-2.450000	240.867258
inf	-2.541667	238.272060
inf	-2.633333	235.459270
inf	-2.725000	232.258411
inf	-2.816667	227.175645
inf	-2.908333	222.094146
inf	-3.000000	217.639105
