Layer	  log(P)	nClouds	Molec.   7	Cloud    7	Molec.   9	Cloud    9
77	-0.630763	0	8.6269e-04	0.0000e+00	2.9547e-13	0.0000e+00
78	-0.733773	0	8.4270e-04	0.0000e+00	2.4550e-13	0.0000e+00
79	-0.836784	0	8.2404e-04	0.0000e+00	2.0360e-13	0.0000e+00
80	-0.939794	0	8.0668e-04	0.0000e+00	1.6848e-13	0.0000e+00
81	-1.042804	0	7.9057e-04	0.0000e+00	1.3914e-13	0.0000e+00
82	-1.145815	0	7.7532e-04	0.0000e+00	1.1470e-13	0.0000e+00
83	-1.248825	0	7.6112e-04	0.0000e+00	9.4383e-14	0.0000e+00
84	-1.351835	0	7.4770e-04	0.0000e+00	7.7539e-14	0.0000e+00
85	-1.454846	0	7.3496e-04	0.0000e+00	6.3624e-14	0.0000e+00
86	-1.557856	0	7.2298e-04	0.0000e+00	5.2143e-14	0.0000e+00
87	-1.660866	0	7.1108e-04	0.0000e+00	4.2681e-14	0.0000e+00
88	-1.763876	0	7.0009e-04	0.0000e+00	3.4884e-14	0.0000e+00
89	-1.866887	0	6.9008e-04	0.0000e+00	2.8449e-14	0.0000e+00
90	-1.969897	0	6.8132e-04	0.0000e+00	2.3124e-14	0.0000e+00
91	-2.072907	0	6.7448e-04	0.0000e+00	1.8709e-14	0.0000e+00
92	-2.175918	0	6.6984e-04	0.0000e+00	1.5051e-14	0.0000e+00
93	-2.278928	0	6.6751e-04	0.0000e+00	1.2031e-14	0.0000e+00
94	-2.381938	0	6.6743e-04	0.0000e+00	9.5570e-15	0.0000e+00
95	-2.484949	0	6.6931e-04	0.0000e+00	7.5505e-15	0.0000e+00
96	-2.587959	0	6.7257e-04	0.0000e+00	5.9395e-15	0.0000e+00
97	-2.690969	0	6.7689e-04	0.0000e+00	4.6561e-15	0.0000e+00
98	-2.793979	0	6.8255e-04	0.0000e+00	3.6365e-15	0.0000e+00
99	-2.896990	0	6.9037e-04	0.0000e+00	2.8242e-15	0.0000e+00
100	-3.000000	0	6.9802e-04	0.0000e+00	2.1916e-15	0.0000e+00
