#grid point     	iterations      	chem_iter       	cond_iter       	converged       	elem_conserved  	p (bar)         	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	e-   	Al   	C    	Ca   	Fe   	H    	He   	K    	Mg   	N    	Na   	O    	P    	S    	Si   	Ti   	V    
24              	1               	10              	26              	ok              	ok              	6.3100000000e+00	5.2810000000e+02	1.6068713532e+20	8.6542594123e+19	2.3243943403e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25              	1               	10              	25              	ok              	ok              	5.1090000000e+00	4.9710000000e+02	1.3821655604e+20	7.4440427211e+19	2.3243944005e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26              	1               	10              	25              	ok              	ok              	4.1370000000e+00	4.6810000000e+02	1.1885427628e+20	6.4012324343e+19	2.3243944236e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27              	1               	10              	25              	ok              	ok              	3.3500000000e+00	4.4070000000e+02	1.0222795903e+20	5.5057751824e+19	2.3243944319e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28              	1               	10              	26              	ok              	ok              	2.7120000000e+00	4.1490000000e+02	8.7905122725e+19	4.7343784140e+19	2.3243944347e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29              	1               	10              	26              	ok              	ok              	2.1960000000e+00	3.9060000000e+02	7.5608048928e+19	4.0720848063e+19	2.3243944355e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30              	1               	10              	40              	ok              	ok              	1.7780000000e+00	3.6770000000e+02	6.5028848109e+19	3.5023120961e+19	2.3243944357e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31              	1               	9               	40              	ok              	ok              	1.4400000000e+00	3.4630000000e+02	5.5921387057e+19	3.0118040841e+19	2.3243944358e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32              	1               	9               	40              	ok              	ok              	1.1660000000e+00	3.2610000000e+02	4.8085671594e+19	2.5897895191e+19	2.3243944358e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33              	1               	9               	44              	ok              	ok              	9.4410000000e-01	3.0700000000e+02	4.1356859891e+19	2.2273903792e+19	2.3243944358e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34              	1               	9               	44              	ok              	ok              	7.6440000000e-01	2.8900000000e+02	3.5570565534e+19	1.9157531704e+19	2.3243944358e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35              	1               	9               	45              	ok              	ok              	6.1900000000e-01	2.7220000000e+02	3.0582322417e+19	1.6470972628e+19	2.3243944358e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36              	1               	9               	33              	ok              	ok              	5.0120000000e-01	2.5620000000e+02	2.6308729239e+19	1.4169308441e+19	2.3243944358e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37              	1               	9               	35              	ok              	ok              	4.0580000000e-01	2.4130000000e+02	2.2616357226e+19	1.2180677312e+19	2.3243944358e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38              	90              	134             	77              	ok              	ok              	3.2860000000e-01	2.2720000000e+02	1.9458738384e+19	1.0475528660e+19	2.3174656171e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39              	66              	86              	60              	ok              	ok              	2.6610000000e-01	2.1400000000e+02	1.6720379586e+19	9.0063292258e+18	2.3149833810e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40              	33              	40              	72              	ok              	ok              	2.1540000000e-01	2.0150000000e+02	1.4371137620e+19	7.7426096732e+18	2.3143889280e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41              	1               	8               	29              	ok              	ok              	1.7440000000e-01	1.8960000000e+02	1.2365341904e+19	6.6623104325e+18	2.3142650467e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42              	1               	8               	37              	ok              	ok              	1.4130000000e-01	1.8250000000e+02	1.0408181710e+19	5.6078451174e+18	2.3142600826e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43              	1               	8               	31              	ok              	ok              	1.1440000000e-01	1.7890000000e+02	8.5962871330e+18	4.6316144608e+18	2.3142582273e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44              	1               	8               	31              	ok              	ok              	9.2610000000e-02	1.7660000000e+02	7.0495654538e+18	3.7982531115e+18	2.3142572322e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45              	1               	8               	31              	ok              	ok              	7.4990000000e-02	1.7490000000e+02	5.7637970836e+18	3.1054909034e+18	2.3142567438e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46              	1               	8               	32              	ok              	ok              	6.0720000000e-02	1.7380000000e+02	4.6965301920e+18	2.5304555221e+18	2.3142567581e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47              	1               	8               	26              	ok              	ok              	4.9170000000e-02	1.7340000000e+02	3.8119416306e+18	2.0538457917e+18	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48              	1               	8               	26              	ok              	ok              	3.9810000000e-02	1.7300000000e+02	3.0934364698e+18	1.6667205563e+18	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49              	1               	8               	27              	ok              	ok              	3.2240000000e-02	1.7280000000e+02	2.5081090880e+18	1.3513505176e+18	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50              	0               	5               	0               	ok              	ok              	2.6100000000e-02	1.7280000000e+02	2.0304481141e+18	1.0939903384e+18	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51              	0               	5               	0               	ok              	ok              	2.1130000000e-02	1.7290000000e+02	1.6428565008e+18	8.8515886064e+17	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52              	0               	5               	0               	ok              	ok              	1.7110000000e-02	1.7310000000e+02	1.3287646584e+18	7.1592851259e+17	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53              	0               	5               	0               	ok              	ok              	1.3860000000e-02	1.7340000000e+02	1.0745070368e+18	5.7893639765e+17	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
