#grid point     	iterations      	chem_iter       	cond_iter       	converged       	elem_conserved  	p (bar)         	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	e-   	Al   	C    	Ca   	Fe   	H    	He   	K    	Mg   	N    	Na   	O    	P    	S    	Si   	Ti   	V    
97              	0               	6               	0               	ok              	ok              	1.2830000000e-06	1.9350000000e+02	8.9133469941e+13	4.8024450502e+13	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98              	0               	6               	0               	ok              	ok              	1.0390000000e-06	1.9210000000e+02	7.2708185991e+13	3.9174629704e+13	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99              	0               	6               	0               	ok              	ok              	8.4140000000e-07	1.9070000000e+02	5.9312597193e+13	3.1957186115e+13	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
100             	0               	6               	0               	ok              	ok              	6.8130000000e-07	1.8890000000e+02	4.8484347784e+13	2.6123005890e+13	2.3142567639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
101             	0               	6               	0               	ok              	ok              	5.5170000000e-07	1.8690000000e+02	3.9681566593e+13	2.1380132872e+13	2.3142567640e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
102             	0               	5               	0               	ok              	ok              	4.4670000000e-07	1.8440000000e+02	3.2564931020e+13	1.7545742568e+13	2.3142567640e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
103             	0               	5               	0               	ok              	ok              	3.6170000000e-07	1.8150000000e+02	2.6789647935e+13	1.4434063006e+13	2.3142567641e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
104             	0               	5               	0               	ok              	ok              	2.9290000000e-07	1.7840000000e+02	2.2070879948e+13	1.1891625920e+13	2.3142567641e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
105             	0               	5               	0               	ok              	ok              	2.3710000000e-07	1.7500000000e+02	1.8213299623e+13	9.8131903392e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
106             	1               	7               	25              	ok              	ok              	1.9200000000e-07	1.7150000000e+02	1.5049852071e+13	8.1087483328e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
107             	1               	7               	26              	ok              	ok              	1.5550000000e-07	1.6800000000e+02	1.2442746078e+13	6.7040590193e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
108             	1               	8               	28              	ok              	ok              	1.2590000000e-07	1.6480000000e+02	1.0269839340e+13	5.5333130338e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
109             	1               	8               	26              	ok              	ok              	1.0190000000e-07	1.6180000000e+02	8.4662442484e+12	4.5615494165e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
110             	1               	8               	26              	ok              	ok              	8.2540000000e-08	1.5920000000e+02	6.9697392065e+12	3.7552436331e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
111             	1               	8               	26              	ok              	ok              	6.6830000000e-08	1.5680000000e+02	5.7295502096e+12	3.0870390280e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
112             	1               	8               	26              	ok              	ok              	5.4120000000e-08	1.5480000000e+02	4.6998279362e+12	2.5322323277e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
113             	1               	8               	26              	ok              	ok              	4.3820000000e-08	1.5310000000e+02	3.8476212034e+12	2.0730696800e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
114             	1               	8               	26              	ok              	ok              	3.5480000000e-08	1.5170000000e+02	3.1440768815e+12	1.6940052334e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
115             	1               	8               	25              	ok              	ok              	2.8730000000e-08	1.5050000000e+02	2.5662221718e+12	1.3826614148e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
116             	1               	8               	26              	ok              	ok              	2.3260000000e-08	1.4960000000e+02	2.0901297348e+12	1.1261463516e+12	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
117             	1               	8               	26              	ok              	ok              	1.8840000000e-08	1.4870000000e+02	1.7031976797e+12	9.1767023888e+11	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
118             	1               	8               	25              	ok              	ok              	1.5250000000e-08	1.4810000000e+02	1.3842352739e+12	7.4581566759e+11	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
119             	1               	8               	25              	ok              	ok              	1.2350000000e-08	1.4760000000e+02	1.1248010859e+12	6.0603445713e+11	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
120             	1               	8               	25              	ok              	ok              	1.0000000000e-08	1.4710000000e+02	9.1386586160e+11	4.9238412754e+11	2.3142567642e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
