Layer	  log(P)	nClouds	Molec.   7	Cloud    7
1	7.908333	0	8.1341e-02	0.0000e+00
2	7.816667	0	8.0036e-02	0.0000e+00
3	7.725000	0	7.8335e-02	0.0000e+00
4	7.633333	0	7.6370e-02	0.0000e+00
5	7.541667	0	7.4649e-02	0.0000e+00
6	7.450000	0	7.3030e-02	0.0000e+00
7	7.358333	0	7.1132e-02	0.0000e+00
8	7.266667	0	6.8587e-02	0.0000e+00
9	7.175000	0	6.5428e-02	0.0000e+00
10	7.083333	0	6.1729e-02	0.0000e+00
11	6.991667	0	5.7677e-02	0.0000e+00
12	6.900000	0	5.3585e-02	0.0000e+00
13	6.808333	0	4.9849e-02	0.0000e+00
14	6.716667	0	4.6678e-02	0.0000e+00
15	6.625000	0	4.4003e-02	0.0000e+00
16	6.533333	0	4.1760e-02	0.0000e+00
17	6.441667	0	3.9900e-02	0.0000e+00
18	6.350000	0	3.8386e-02	0.0000e+00
19	6.258333	0	3.7205e-02	0.0000e+00
20	6.166667	0	3.6325e-02	0.0000e+00
21	6.075000	0	3.5706e-02	0.0000e+00
22	5.983333	0	3.5317e-02	0.0000e+00
23	5.891667	0	3.5126e-02	0.0000e+00
24	5.800000	0	3.5160e-02	0.0000e+00
25	5.708333	0	3.5453e-02	0.0000e+00
26	5.616667	0	3.6020e-02	0.0000e+00
27	5.525000	0	3.6827e-02	0.0000e+00
28	5.433333	0	3.7785e-02	0.0000e+00
29	5.341667	0	3.8841e-02	0.0000e+00
30	5.250000	0	3.9910e-02	0.0000e+00
31	5.158333	0	4.0886e-02	0.0000e+00
32	5.066667	0	4.1680e-02	0.0000e+00
33	4.975000	0	4.2276e-02	0.0000e+00
34	4.883333	0	4.2894e-02	0.0000e+00
35	4.791667	0	4.3904e-02	0.0000e+00
36	4.700000	0	4.6255e-02	0.0000e+00
37	4.608333	0	5.1723e-02	0.0000e+00
38	4.516667	0	6.1666e-02	0.0000e+00
39	4.425000	0	7.3812e-02	0.0000e+00
40	4.333333	0	8.2117e-02	0.0000e+00
41	4.241667	0	8.5315e-02	0.0000e+00
42	4.150000	0	8.6170e-02	0.0000e+00
43	4.058333	0	8.6360e-02	0.0000e+00
44	3.966667	0	8.6401e-02	0.0000e+00
45	3.875000	0	8.6417e-02	0.0000e+00
46	3.783333	0	8.6429e-02	0.0000e+00
47	3.691667	0	8.6459e-02	0.0000e+00
48	3.600000	0	8.6503e-02	0.0000e+00
49	3.508333	0	8.6564e-02	0.0000e+00
50	3.416667	0	8.6661e-02	0.0000e+00
51	3.325000	0	8.6809e-02	0.0000e+00
52	3.233333	0	8.7042e-02	0.0000e+00
53	3.141667	0	8.7270e-02	0.0000e+00
54	3.050000	0	8.7382e-02	0.0000e+00
55	2.958333	0	8.7414e-02	0.0000e+00
