#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	8.000000	1544.792265
90.907335	7.908333	1524.291092
180.314283	7.816667	1498.861713
268.599578	7.725000	1477.546387
356.147590	7.633333	1462.787574
443.181431	7.541667	1450.074953
529.827963	7.450000	1438.381410
615.983317	7.358333	1425.803154
701.744321	7.266667	1415.365305
787.450123	7.175000	1408.549253
873.451648	7.083333	1404.143712
959.838112	6.991667	1401.029678
1046.663264	6.900000	1398.234020
1133.958302	6.808333	1395.843337
1221.587887	6.716667	1392.580565
1309.404041	6.625000	1387.923415
1397.248166	6.533333	1381.779405
1484.946259	6.441667	1373.952383
1572.340604	6.350000	1364.158674
1659.236762	6.258333	1351.958228
1745.401355	6.166667	1336.769560
1830.589167	6.075000	1318.443434
1914.552730	5.983333	1296.987307
1997.061617	5.891667	1272.736951
2077.911421	5.800000	1246.289639
2156.944300	5.708333	1218.448324
2234.057761	5.616667	1189.922857
2309.200294	5.525000	1161.280766
2382.361630	5.433333	1132.935477
2453.567195	5.341667	1105.199833
2522.872832	5.250000	1078.167817
2590.341846	5.158333	1051.888885
2656.050299	5.066667	1026.578524
2720.101625	4.975000	1002.222497
2782.559052	4.883333	978.416657
2843.387356	4.791667	954.326828
2902.400428	4.700000	921.577493
2958.498360	4.608333	880.215009
3010.599916	4.516667	831.624358
3058.822162	4.425000	784.876319
3103.797014	4.333333	740.793895
3146.063410	4.241667	699.056771
3185.898736	4.150000	659.463258
3223.461582	4.058333	621.903304
3258.874961	3.966667	586.287049
3292.250899	3.875000	552.538890
3323.695348	3.783333	520.583193
3353.307754	3.691667	491.202641
3381.257422	3.600000	465.534797
3407.816764	3.508333	442.793268
3433.111256	3.416667	420.495665
3457.015673	3.325000	397.334506
3479.456818	3.233333	373.958655
3500.518621	3.141667	352.712930
3520.382105	3.050000	335.977922
3539.422458	2.958333	323.800102
3557.930740	2.866667	315.347834
3575.988773	2.775000	308.203909
3593.669460	2.683333	302.171456
3611.030325	2.591667	296.935968
3628.107599	2.500000	292.295697
3644.928539	2.408333	288.187988
3661.528352	2.316667	284.781490
3677.951930	2.225000	282.325570
3694.263011	2.133333	281.323433
3710.561942	2.041667	281.674465
3726.929242	1.950000	282.380591
3743.332115	1.858333	282.681520
3759.719795	1.766667	282.373396
3776.087649	1.675000	282.047416
3792.437419	1.583333	281.810807
3808.778832	1.491667	281.803001
3825.128861	1.400000	282.199675
3841.518672	1.308333	283.254114
3857.998258	1.216667	285.284087
3874.641002	1.125000	288.552574
3891.537409	1.033333	292.339011
3908.699973	0.941667	295.415875
3926.021715	0.850000	297.225477
3943.420393	0.758333	298.149850
3960.882817	0.666667	298.985694
3978.406781	0.575000	299.779577
3995.986766	0.483333	300.490747
4013.612181	0.391667	301.099864
4031.277336	0.300000	301.677194
4048.981547	0.208333	302.333444
4066.731860	0.116667	303.121827
4084.536060	0.025000	303.904422
4102.388517	-0.066667	304.496963
4120.268187	-0.158333	304.877139
4138.163959	-0.250000	305.189298
4156.081661	-0.341667	305.591391
4174.027666	-0.433333	306.067243
4192.003850	-0.525000	306.567849
4210.010383	-0.616667	307.034947
4228.043294	-0.708333	307.420382
4246.095950	-0.800000	307.683500
4264.160783	-0.891667	307.780531
4282.226224	-0.983333	307.664619
4300.277907	-1.075000	307.321129
4318.302161	-1.166667	306.780333
4336.289985	-1.258333	306.095407
4354.234615	-1.350000	305.303867
4372.129850	-1.441667	304.411741
4389.969299	-1.533333	303.404735
4407.745912	-1.625000	302.243284
4425.449643	-1.716667	300.837864
4443.063688	-1.808333	299.084280
4460.562470	-1.900000	296.908819
4477.920531	-1.991667	294.281670
4495.111963	-2.083333	291.197360
4512.108851	-2.175000	287.649950
4528.882844	-2.266667	283.661311
4545.410127	-2.358333	279.278932
4561.669509	-2.450000	274.566322
4577.643052	-2.541667	269.597179
4593.318495	-2.633333	264.447307
4608.686780	-2.725000	259.164978
4623.741392	-2.816667	253.348701
4638.439253	-2.908333	247.639446
4652.792665	-3.000000	242.036826
