#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	8.000000	1206.678225
142.478754	7.908333	1207.432261
285.122227	7.816667	1206.980794
428.767513	7.725000	1212.824933
572.204615	7.633333	1209.694370
715.331123	7.541667	1205.782970
857.726994	7.450000	1200.455265
999.524589	7.358333	1195.141363
1140.762744	7.266667	1190.758956
1281.438497	7.175000	1186.402806
1421.686586	7.083333	1182.334568
1561.431193	6.991667	1177.682454
1700.561351	6.900000	1172.317356
1839.033413	6.808333	1166.349091
1976.768516	6.716667	1159.505628
2113.626299	6.625000	1151.214276
2249.413260	6.533333	1140.997034
2383.863592	6.441667	1128.162615
2516.629483	6.350000	1112.091122
2647.284357	6.258333	1092.161650
2775.342329	6.166667	1067.962041
2900.271549	6.075000	1039.246012
3021.529111	5.983333	1005.859270
3138.557382	5.891667	964.485864
3250.208724	5.800000	916.027717
3355.511030	5.708333	863.107238
3454.532385	5.616667	811.544420
3547.625129	5.525000	762.891501
3635.126199	5.433333	717.022376
3717.357602	5.341667	673.814692
3794.627502	5.250000	633.141748
3867.229091	5.158333	594.878127
3935.439824	5.066667	558.892290
3999.522460	4.975000	525.058589
4059.724402	4.883333	493.259589
4116.279439	4.791667	463.371344
4169.407039	4.700000	437.383639
4219.686148	4.608333	415.760312
4267.786241	4.516667	397.528760
4313.836142	4.425000	379.335694
4357.646551	4.333333	359.748099
4399.037332	4.241667	339.700860
4438.048772	4.150000	321.401674
4475.049498	4.058333	307.123443
4510.654957	3.966667	296.861064
4545.308390	3.875000	289.444294
4579.169659	3.783333	283.221806
4612.353000	3.691667	277.864899
4644.949887	3.600000	273.180120
4677.027686	3.508333	268.988748
4708.634803	3.416667	265.170663
4739.809431	3.325000	261.688251
4770.590786	3.233333	258.607125
4801.032229	3.141667	256.178078
4831.228234	3.050000	254.518203
4861.283551	2.958333	253.103907
4891.179050	2.866667	251.485407
4920.836556	2.775000	249.372501
4950.229090	2.683333	247.096313
4979.345001	2.591667	244.781007
5008.187244	2.500000	242.549289
5036.772309	2.408333	240.544584
5065.136034	2.316667	239.000888
5093.347758	2.225000	238.360658
5121.544921	2.133333	239.426754
5149.984063	2.041667	241.940875
5178.831738	1.950000	244.537796
5207.936762	1.858333	246.299153
5237.150146	1.766667	247.213238
5266.473107	1.675000	248.159676
5295.908498	1.583333	249.164575
5325.468326	1.491667	250.303352
5355.171992	1.400000	251.654014
5385.049358	1.308333	253.319877
5415.144719	1.216667	255.406527
5445.514577	1.125000	257.981590
5476.219858	1.033333	260.571001
5507.232544	0.941667	262.498576
5538.404727	0.850000	263.516993
5569.633187	0.758333	263.883490
5600.891781	0.666667	264.047819
5632.158097	0.575000	264.030448
5663.412599	0.483333	263.846440
5694.635541	0.391667	263.505010
5725.808670	0.300000	263.028249
5756.918056	0.208333	262.439415
5787.951895	0.116667	261.724870
5818.893602	0.025000	260.780467
5849.708213	-0.066667	259.506758
5880.347856	-0.158333	257.897026
5910.777192	-0.250000	256.029653
5940.974203	-0.341667	253.989021
5970.919756	-0.433333	251.804193
6000.598826	-0.525000	249.507540
6030.000174	-0.616667	247.129265
6059.115667	-0.708333	244.700739
6087.941145	-0.800000	242.260150
6116.477784	-0.891667	239.851846
6144.732125	-0.983333	237.517180
6172.715495	-1.075000	235.292383
6200.442394	-1.166667	233.204876
6227.930942	-1.258333	231.262076
6255.198298	-1.350000	229.439268
6282.256335	-1.441667	227.678301
6309.108513	-1.533333	225.906925
6335.748673	-1.625000	224.058224
6362.163924	-1.716667	222.088784
6388.338025	-1.808333	219.985454
6414.255000	-1.900000	217.757916
6439.901224	-1.991667	215.421775
6465.264786	-2.083333	212.978615
6490.332904	-2.175000	210.390312
6515.085365	-2.266667	207.558349
6539.486502	-2.358333	204.318773
6563.476257	-2.450000	200.459584
6586.968359	-2.541667	195.836332
6609.863097	-2.633333	190.526896
6632.089054	-2.725000	184.808861
6653.622768	-2.816667	179.180146
6674.502521	-2.908333	173.578391
6694.734226	-3.000000	167.928890
