Layer	  Height	  log(P)	Temp_bound.	     Rflux	 isequil	dt
103	6884.836208	-1.441667	275.210950	 -0.000328	1	3.476730e-06
104	6914.556239	-1.533333	272.166606	 -0.000751	1	3.476730e-06
105	6943.931827	-1.625000	268.865811	 -0.001572	1	3.476730e-06
106	6972.940399	-1.716667	265.410349	 -0.003848	1	3.476730e-06
107	7001.570502	-1.808333	261.894939	 -0.008056	1	3.476730e-06
108	7029.819931	-1.900000	258.406274	 -0.000294	1	5.736605e-06
109	7057.696152	-1.991667	255.023307	 -0.001780	1	5.736605e-06
110	7085.214384	-2.083333	251.810562	 -0.010055	1	5.736605e-06
111	7112.394730	-2.175000	248.805286	 -0.001264	1	5.736605e-06
112	7139.259659	-2.266667	246.008326	 -0.006014	1	3.476730e-06
113	7165.830371	-2.358333	243.383377	 -0.001607	1	3.476730e-06
114	7192.121240	-2.450000	240.857288	 -0.000603	1	3.476730e-06
115	7218.136825	-2.541667	238.314770	 -0.000244	1	3.476730e-06
116	7243.866570	-2.633333	235.599697	 -0.000081	1	3.476730e-06
117	7269.276214	-2.725000	232.420626	 -0.000024	1	3.476730e-06
118	7294.311301	-2.816667	228.713695	 -0.000005	1	3.476730e-06
119	7318.689848	-2.908333	220.351423	 -0.000001	1	3.476730e-06
120	7342.441147	-3.000000	217.176092	 -0.000000	1	3.476730e-06
