#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	8.000000	1423.520823
153.552862	7.908333	1402.609180
304.436230	7.816667	1379.180535
452.816418	7.725000	1357.459551
599.044588	7.633333	1339.874250
743.555019	7.541667	1324.911313
886.663408	7.450000	1312.568187
1028.473648	7.358333	1301.339771
1169.174090	7.266667	1291.997059
1308.960914	7.175000	1284.622579
1448.077486	7.083333	1279.706127
1586.806305	6.991667	1276.025500
1725.226308	6.900000	1272.875064
1863.268008	6.808333	1269.233823
2000.934984	6.716667	1265.520496
2138.209883	6.625000	1261.541325
2275.062961	6.533333	1256.900207
2411.403825	6.441667	1251.124145
2547.073604	6.350000	1243.663565
2681.872443	6.258333	1234.098852
2815.544005	6.166667	1221.997327
2947.780707	6.075000	1207.049656
3078.250086	5.983333	1189.008610
3206.595636	5.891667	1167.760390
3332.442991	5.800000	1143.303771
3455.438427	5.708333	1115.932612
3575.274716	5.616667	1085.903576
3691.674404	5.525000	1053.512374
3804.384324	5.433333	1019.088931
3913.214285	5.341667	982.800863
4017.982497	5.250000	944.830493
4118.505748	5.158333	905.349578
4214.656389	5.066667	864.974733
4306.379136	4.975000	824.134844
4393.653434	4.883333	782.771771
4476.404470	4.791667	740.737363
4554.537777	4.700000	698.440090
4628.070854	4.608333	657.066902
4697.186480	4.516667	617.594271
4762.140968	4.425000	580.433421
4823.177626	4.333333	545.468764
4880.525333	4.241667	512.899642
4934.453747	4.150000	483.152722
4985.311976	4.058333	457.331529
5033.585524	3.966667	434.652726
5079.601485	3.875000	413.993220
5123.397636	3.783333	393.522845
5164.974766	3.691667	373.261374
5204.361523	3.600000	353.760984
5241.687961	3.508333	335.934241
5277.191407	3.416667	320.621263
5311.186499	3.325000	308.277926
5344.012850	3.233333	298.777894
5375.962490	3.141667	291.907242
5407.293831	3.050000	287.338378
5438.259197	2.958333	284.184694
5468.952330	2.866667	281.615493
5499.352329	2.775000	278.929941
5529.462642	2.683333	276.273997
5559.286579	2.591667	273.647662
5588.827299	2.500000	271.049423
5618.087317	2.408333	268.528901
5647.078648	2.316667	266.267476
5675.841311	2.225000	264.668732
5704.473441	2.133333	264.455883
5733.170079	2.041667	265.586514
5762.081937	1.950000	266.936015
5791.117736	1.858333	267.718432
5820.161231	1.766667	267.793735
5849.212726	1.675000	267.934743
5878.283515	1.583333	268.255064
5907.402026	1.491667	268.903816
5936.611162	1.400000	270.006189
5965.966743	1.308333	271.681066
5995.537274	1.216667	274.054256
6025.405080	1.125000	277.164259
6055.653278	1.033333	280.352724
6086.248817	0.941667	282.724542
6117.022066	0.850000	283.960677
6147.857855	0.758333	284.416682
6178.729951	0.666667	284.654344
6209.618092	0.575000	284.715256
6240.504959	0.483333	284.632030
6271.376964	0.391667	284.436883
6302.223979	0.300000	284.196533
6333.045313	0.208333	284.009388
6363.853394	0.116667	283.925826
6394.663377	0.025000	283.814506
6425.461056	-0.066667	283.490977
6456.207034	-0.158333	282.945460
6486.883530	-0.250000	282.370689
6517.506573	-0.341667	282.004925
6548.106577	-0.433333	281.941508
6578.720010	-0.525000	282.187407
6609.378324	-0.616667	282.660604
6640.100176	-0.708333	283.212439
6670.883563	-0.800000	283.664581
6701.708285	-0.891667	283.849136
6732.535677	-0.983333	283.632514
6763.315844	-1.075000	282.930763
6793.991766	-1.166667	281.709373
6824.506776	-1.258333	279.972268
6854.805026	-1.350000	277.748666
6884.836208	-1.441667	275.091415
6914.556239	-1.533333	272.081122
6943.931827	-1.625000	268.814255
6972.940399	-1.716667	265.390366
7001.570502	-1.808333	261.903854
7029.819931	-1.900000	258.441507
7057.696152	-1.991667	255.080047
7085.214384	-2.083333	251.879718
7112.394730	-2.175000	248.874724
7139.259659	-2.266667	246.065663
7165.830371	-2.358333	243.416330
7192.121240	-2.450000	240.851812
7218.136825	-2.541667	238.257252
7243.866570	-2.633333	235.445031
7269.276214	-2.725000	232.244673
7294.311301	-2.816667	227.161915
7318.689848	-2.908333	222.080403
7342.441147	-3.000000	217.625528
