#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.5498020000e-02	2.0319173960e+01	1.6150944357e-10                 	1.0868425816e-10                 	5.2825185410e-11                 	6.7292819391e-01                 	9.8368713444e-01                 
1.6531220000e-02	1.9049227124e+01	1.6764895861e-10                 	1.1903333904e-10                 	4.8615619572e-11                 	7.1001537991e-01                 	9.8114967956e-01                 
1.7712030000e-02	1.7779270045e+01	1.7351235514e-10                 	1.2733210672e-10                 	4.6180248421e-11                 	7.3385037404e-01                 	9.7590997706e-01                 
1.9074490000e-02	1.6509325513e+01	1.7150714830e-10                 	1.2431899415e-10                 	4.7188154150e-11                 	7.2486188117e-01                 	9.6537179059e-01                 
2.0664030000e-02	1.5239378011e+01	1.6117383508e-10                 	1.1052490223e-10                 	5.0648932843e-11                 	6.8574965770e-01                 	9.4559001743e-01                 
2.2542580000e-02	1.3969428717e+01	1.5644255525e-10                 	9.7680986650e-11                 	5.8761568603e-11                 	6.2438884671e-01                 	9.2012330330e-01                 
2.4796840000e-02	1.2699479628e+01	1.6051214456e-10                 	9.2624299613e-11                 	6.7887844945e-11                 	5.7705477594e-01                 	9.1553284961e-01                 
2.7552040000e-02	1.1429533509e+01	1.6440864072e-10                 	8.7953030688e-11                 	7.6455610035e-11                 	5.3496598659e-01                 	9.1655952769e-01                 
3.0996050000e-02	1.0159583702e+01	1.5208477900e-10                 	7.0493827974e-11                 	8.1590951028e-11                 	4.6351665457e-01                 	9.4767475917e-01                 
3.2627420000e-02	9.6516048284e+00	1.5455905788e-10                 	7.1123511290e-11                 	8.3435546594e-11                 	4.6017045047e-01                 	9.4423823115e-01                 
3.4440050000e-02	9.1436268069e+00	1.4585121197e-10                 	6.4123054108e-11                 	8.1728157865e-11                 	4.3964704331e-01                 	9.4785899912e-01                 
3.6465940000e-02	8.6356464254e+00	1.3514195423e-10                 	5.6982484185e-11                 	7.8159470050e-11                 	4.2164910599e-01                 	9.4878553803e-01                 
3.8745060000e-02	8.1276674861e+00	1.3230683979e-10                 	6.0842379574e-11                 	7.1464460218e-11                 	4.5985815752e-01                 	9.4132722100e-01                 
4.1328060000e-02	7.6196890057e+00	1.4427499773e-10                 	7.8173407445e-11                 	6.6101590283e-11                 	5.4183613707e-01                 	9.2002284771e-01                 
4.4280070000e-02	7.1117088209e+00	1.5205271335e-10                 	8.6726637774e-11                 	6.5326075577e-11                 	5.7037218122e-01                 	8.9459924961e-01                 
4.7686230000e-02	6.6037295129e+00	1.5870513334e-10                 	9.2739094362e-11                 	6.5966038978e-11                 	5.8434842283e-01                 	8.6248824726e-01                 
5.1660080000e-02	6.0957506146e+00	1.6564967832e-10                 	9.9629962440e-11                 	6.6019715881e-11                 	6.0144977914e-01                 	8.2353979489e-01                 
5.6356450000e-02	5.5877714869e+00	1.7669438569e-10                 	1.0780476464e-10                 	6.8889621052e-11                 	6.1011992100e-01                 	7.7975708031e-01                 
6.1992090000e-02	5.0797926705e+00	1.8823742853e-10                 	1.0922298420e-10                 	7.9014444332e-11                 	5.8024052416e-01                 	7.6817496672e-01                 
6.5254840000e-02	4.8258024142e+00	1.9235687767e-10                 	1.0780626034e-10                 	8.4550617333e-11                 	5.6044921109e-01                 	7.6979753704e-01                 
6.8880100000e-02	4.5718134034e+00	1.9481389866e-10                 	1.0597994760e-10                 	8.8833951055e-11                 	5.4400609162e-01                 	7.7074815787e-01                 
7.2931870000e-02	4.3178238047e+00	1.9724006708e-10                 	1.0513122194e-10                 	9.2108845140e-11                 	5.3301148948e-01                 	7.6722111384e-01                 
7.7490120000e-02	4.0638337431e+00	2.0120240003e-10                 	1.0693765085e-10                 	9.4264749175e-11                 	5.3149291877e-01                 	7.5506889885e-01                 
8.2656120000e-02	3.8098445029e+00	2.0999297714e-10                 	1.1265005159e-10                 	9.7342925553e-11                 	5.3644675704e-01                 	7.3529354168e-01                 
8.8560130000e-02	3.5558548120e+00	2.1659891978e-10                 	1.1281970136e-10                 	1.0377921842e-10                 	5.2086917826e-01                 	7.3112241092e-01                 
9.5372450000e-02	3.3018651027e+00	2.1338000990e-10                 	1.0430839797e-10                 	1.0907161193e-10                 	4.8883865936e-01                 	7.4167811136e-01                 
1.0332020000e-01	3.0478741273e+00	2.0176201156e-10                 	9.0706298624e-11                 	1.1105571294e-10                 	4.4957074883e-01                 	7.5411697450e-01                 
1.1271290000e-01	2.7938857434e+00	2.0112139994e-10                 	9.4742430624e-11                 	1.0637896931e-10                 	4.7107085896e-01                 	7.0435772489e-01                 
1.2398420000e-01	2.5398959255e+00	2.3767308904e-10                 	1.2447059712e-10                 	1.1320249192e-10                 	5.2370505057e-01                 	6.4242812969e-01                 
1.3050970000e-01	2.4129008373e+00	2.4153736958e-10                 	1.2513108603e-10                 	1.1640628355e-10                 	5.1806097850e-01                 	6.2835193229e-01                 
1.3776020000e-01	2.2859067017e+00	2.3838002291e-10                 	1.1965966104e-10                 	1.1872036187e-10                 	5.0197017175e-01                 	6.1809248624e-01                 
1.4586370000e-01	2.1589124944e+00	2.4046014395e-10                 	1.2007158085e-10                 	1.2038856310e-10                 	4.9934088401e-01                 	5.9830438050e-01                 
1.5498020000e-01	2.0319173960e+00	2.5148775155e-10                 	1.3048813188e-10                 	1.2099961966e-10                 	5.1886476013e-01                 	5.6507898526e-01                 
1.6531220000e-01	1.9049227124e+00	2.6706459418e-10                 	1.4943627772e-10                 	1.1762831647e-10                 	5.5955106357e-01                 	5.2247916676e-01                 
1.7712030000e-01	1.7779270045e+00	2.6152480168e-10                 	1.4197865789e-10                 	1.1954614378e-10                 	5.4288792873e-01                 	5.0411640977e-01                 
1.9074490000e-01	1.6509325513e+00	2.6060569330e-10                 	1.3784552540e-10                 	1.2276016789e-10                 	5.2894287788e-01                 	4.6998028306e-01                 
2.0664030000e-01	1.5239378011e+00	2.5777582423e-10                 	1.4041665811e-10                 	1.1735916612e-10                 	5.4472392254e-01                 	3.9523362068e-01                 
2.2542580000e-01	1.3969428717e+00	2.5059556453e-10                 	1.4119679656e-10                 	1.0939876797e-10                 	5.6344491502e-01                 	2.9633067539e-01                 
2.4796840000e-01	1.2699479628e+00	2.5196079496e-10                 	1.3677259586e-10                 	1.1518819909e-10                 	5.4283284781e-01                 	2.2904646329e-01                 
2.7552040000e-01	1.1429533509e+00	2.6045143921e-10                 	1.3861842881e-10                 	1.2183301040e-10                 	5.3222370064e-01                 	1.6389755560e-01                 
3.0996050000e-01	1.0159583702e+00	2.6358179773e-10                 	1.3382562876e-10                 	1.2975616897e-10                 	5.0771953873e-01                 	1.1188855081e-01                 
3.5424050000e-01	8.8896375319e-01	2.4653032453e-10                 	1.1696278227e-10                 	1.2956754226e-10                 	4.7443568044e-01                 	6.3944783066e-02                 
4.0473760000e-01	7.7805216123e-01	2.0109664975e-10                 	8.4567009496e-11                 	1.1652964025e-10                 	4.2052918138e-01                 	3.7507783586e-02                 
4.3592890000e-01	7.2238148104e-01	1.7243311524e-10                 	6.6119670748e-11                 	1.0631344449e-10                 	3.8345111758e-01                 	3.0779193959e-02                 
4.6950370000e-01	6.7072307292e-01	1.4517712714e-10                 	4.9998536368e-11                 	9.5178590776e-11                 	3.4439678861e-01                 	2.8725000855e-02                 
4.8360690000e-01	6.5116309219e-01	1.3512667831e-10                 	4.4410057410e-11                 	9.0716620896e-11                 	3.2865499224e-01                 	2.8969713328e-02                 
5.0567750000e-01	6.2274268563e-01	1.2103935262e-10                 	3.7203874326e-11                 	8.3835478293e-11                 	3.0737007032e-01                 	2.7455308503e-02                 
5.5287600000e-01	5.6957973291e-01	9.6456915850e-11                 	2.5582754833e-11                 	7.0874161016e-11                 	2.6522468200e-01                 	2.8894001193e-02                 
6.1336660000e-01	5.1340742129e-01	7.3941725498e-11                 	1.6428114582e-11                 	5.7513610916e-11                 	2.2217651092e-01                 	3.0173237816e-02                 
6.9074030000e-01	4.5589777288e-01	5.4759672061e-11                 	9.8488162211e-12                 	4.4910855840e-11                 	1.7985528128e-01                 	3.1374521352e-02                 
