#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	8.000000	2276.493850
inf	7.908333	2225.504389
inf	7.816667	2169.066524
inf	7.725000	2120.001855
inf	7.633333	2072.536007
inf	7.541667	2027.742933
inf	7.450000	1980.621661
inf	7.358333	1933.952463
inf	7.266667	1886.804899
inf	7.175000	1840.724329
inf	7.083333	1796.031127
inf	6.991667	1752.944253
inf	6.900000	1712.424622
inf	6.808333	1673.665965
inf	6.716667	1636.804389
inf	6.625000	1600.147237
inf	6.533333	1564.283592
inf	6.441667	1528.851785
inf	6.350000	1494.082143
inf	6.258333	1459.713948
inf	6.166667	1425.490453
inf	6.075000	1391.526995
inf	5.983333	1357.567750
inf	5.891667	1323.334611
inf	5.800000	1288.594801
inf	5.708333	1253.237238
inf	5.616667	1217.259621
inf	5.525000	1180.507560
inf	5.433333	1142.776730
inf	5.341667	1103.740159
inf	5.250000	1063.130410
inf	5.158333	1021.037423
inf	5.066667	977.412889
inf	4.975000	929.600834
inf	4.883333	879.037561
inf	4.791667	826.676173
inf	4.700000	777.200672
inf	4.608333	730.444682
inf	4.516667	686.731038
inf	4.425000	645.540181
inf	4.333333	606.082361
inf	4.241667	569.054244
inf	4.150000	533.871743
inf	4.058333	502.180439
inf	3.966667	472.317315
inf	3.875000	445.586183
inf	3.783333	419.691236
inf	3.691667	395.758623
inf	3.600000	372.768831
inf	3.508333	351.922611
inf	3.416667	333.492693
inf	3.325000	318.157377
inf	3.233333	306.398434
inf	3.141667	297.946974
inf	3.050000	292.420484
inf	2.958333	288.539115
inf	2.866667	285.437152
inf	2.775000	282.286989
inf	2.683333	279.224491
inf	2.591667	276.235826
inf	2.500000	273.320730
inf	2.408333	270.520028
inf	2.316667	268.006981
inf	2.225000	266.184108
inf	2.133333	265.769716
inf	2.041667	266.732919
inf	1.950000	267.952033
inf	1.858333	268.636222
inf	1.766667	268.629392
inf	1.675000	268.695579
inf	1.583333	268.946899
inf	1.491667	269.531031
inf	1.400000	270.572590
inf	1.308333	272.190207
inf	1.216667	274.509386
inf	1.125000	277.568607
inf	1.033333	280.712096
inf	0.941667	283.046824
inf	0.850000	284.253723
inf	0.758333	284.685598
inf	0.666667	284.901869
inf	0.575000	284.943705
inf	0.483333	284.843172
inf	0.391667	284.631994
inf	0.300000	284.376631
inf	0.208333	284.175499
inf	0.116667	284.079139
inf	0.025000	283.956404
inf	-0.066667	283.622967
inf	-0.158333	283.068885
inf	-0.250000	282.486529
inf	-0.341667	282.113916
inf	-0.433333	282.044362
inf	-0.525000	282.284786
inf	-0.616667	282.752823
inf	-0.708333	283.299727
inf	-0.800000	283.747174
inf	-0.891667	283.927432
inf	-0.983333	283.707051
inf	-1.075000	283.002150
inf	-1.166667	281.778327
inf	-1.258333	280.039373
inf	-1.350000	277.814362
inf	-1.441667	275.155907
inf	-1.533333	272.144487
inf	-1.625000	268.876493
inf	-1.716667	265.451416
inf	-1.808333	261.963627
inf	-1.900000	258.499870
inf	-1.991667	255.136831
inf	-2.083333	251.934903
inf	-2.175000	248.928372
inf	-2.266667	246.117957
inf	-2.358333	243.467328
inf	-2.450000	240.901494
inf	-2.541667	238.305534
inf	-2.633333	235.491897
inf	-2.725000	232.290297
inf	-2.816667	227.207476
inf	-2.908333	222.126058
inf	-3.000000	217.670778
