lambda [um]    flux [erg s^-1 cm^-3]    
1.0465391e-01  1.3276464e+04            
1.0470624e-01  1.2805887e+04            
1.0475859e-01  1.1519543e+04            
1.0481097e-01  1.2899758e+04            
1.0486337e-01  1.3550692e+04            
1.0491581e-01  1.4652976e+04            
1.0496826e-01  1.2606565e+04            
1.0502075e-01  1.1454431e+04            
1.0507326e-01  1.5122954e+04            
1.0512580e-01  1.4715585e+04            
1.0517836e-01  1.5134146e+04            
1.0523095e-01  1.0907094e+04            
1.0528356e-01  1.4580018e+04            
1.0533621e-01  1.4893703e+04            
1.0538887e-01  1.4728465e+04            
1.0544157e-01  1.6847273e+04            
1.0549429e-01  1.7709055e+04            
1.0554703e-01  1.6898498e+04            
1.0559981e-01  1.5957878e+04            
1.0565260e-01  1.3595425e+04            
1.0570544e-01  1.8236855e+04            
1.0575828e-01  1.5468865e+04            
1.0581117e-01  1.4866290e+04            
1.0586408e-01  1.9134847e+04            
1.0591700e-01  1.7488581e+04            
1.0596997e-01  1.9448555e+04            
1.0602295e-01  1.9394150e+04            
1.0607596e-01  1.9784024e+04            
1.0612900e-01  2.1195003e+04            
1.0618206e-01  1.3863628e+04            
1.0623515e-01  1.8871581e+04            
1.0628827e-01  1.5169196e+04            
1.0634142e-01  1.9623923e+04            
1.0639458e-01  1.4874682e+04            
1.0644779e-01  2.0218552e+04            
1.0650100e-01  1.4891787e+04            
1.0655426e-01  1.7029454e+04            
1.0660754e-01  2.3038423e+04            
1.0666084e-01  2.2935814e+04            
1.0671417e-01  1.8532011e+04            
1.0676752e-01  2.1224739e+04            
1.0682091e-01  1.7986690e+04            
1.0687432e-01  1.8038208e+04            
1.0692775e-01  2.5569791e+04            
1.0698122e-01  2.6317195e+04            
1.0703471e-01  2.5119173e+04            
1.0708823e-01  2.3999906e+04            
1.0714177e-01  2.2539249e+04            
1.0719535e-01  2.8168624e+04            
1.0724895e-01  2.5706853e+04            
1.0730256e-01  2.4186979e+04            
1.0735622e-01  2.7901813e+04            
1.0740990e-01  2.7210564e+04            
1.0746361e-01  2.1098338e+04            
1.0751733e-01  2.5794778e+04            
1.0757109e-01  2.7651493e+04            
1.0762488e-01  3.1245587e+04            
1.0767869e-01  2.8806573e+04            
1.0773252e-01  3.1635776e+04            
1.0778639e-01  2.7100273e+04            
1.0784029e-01  2.7861649e+04            
1.0789421e-01  3.0043448e+04            
1.0794816e-01  2.9217146e+04            
1.0800213e-01  3.0213131e+04            
1.0805614e-01  2.7897370e+04            
1.0811015e-01  3.0546881e+04            
1.0816421e-01  3.0470287e+04            
1.0821829e-01  3.3216435e+04            
1.0827240e-01  3.7823501e+04            
1.0832654e-01  3.1046165e+04            
1.0838070e-01  3.7175502e+04            
1.0843489e-01  3.7777122e+04            
1.0848911e-01  3.5973976e+04            
1.0854336e-01  3.2533837e+04            
1.0859763e-01  3.8714639e+04            
1.0865193e-01  3.7955530e+04            
1.0870625e-01  4.0342561e+04            
1.0876060e-01  3.8989837e+04            
1.0881498e-01  4.0041702e+04            
1.0886939e-01  4.0974265e+04            
1.0892382e-01  3.3611843e+04            
1.0897828e-01  3.8021986e+04            
1.0903278e-01  4.5038025e+04            
1.0908730e-01  4.5578993e+04            
1.0914184e-01  3.3587320e+04            
1.0919641e-01  4.1716489e+04            
1.0925100e-01  4.3221887e+04            
1.0930564e-01  4.8491692e+04            
1.0936029e-01  4.6884989e+04            
1.0941497e-01  4.8503007e+04            
1.0946967e-01  4.5507935e+04            
1.0952441e-01  4.8102797e+04            
1.0957917e-01  4.3481481e+04            
1.0963396e-01  4.3023402e+04            
1.0968878e-01  3.9884314e+04            
1.0974362e-01  5.1809683e+04            
1.0979849e-01  4.7712204e+04            
1.0985340e-01  5.1676361e+04            
1.0990832e-01  4.7923900e+04            
1.0996328e-01  4.8213897e+04            
1.1001825e-01  5.2460759e+04            
1.1007327e-01  4.8572244e+04            
1.1012830e-01  5.7607120e+04            
1.1018337e-01  1.0472597e+05            
1.1023846e-01  2.4564222e+05            
1.1029358e-01  3.0247773e+05            
1.1034872e-01  3.1663012e+05            
1.1040390e-01  1.9045946e+05            
1.1045910e-01  3.9359902e+05            
1.1051433e-01  3.4198721e+05            
1.1056959e-01  2.9731059e+05            
1.1062488e-01  3.0470806e+05            
1.1068018e-01  3.7278208e+05            
1.1073552e-01  3.4724874e+05            
1.1079089e-01  2.8075135e+05            
1.1084629e-01  3.4735481e+05            
1.1090172e-01  4.1745565e+05            
1.1095716e-01  2.9999458e+05            
1.1101264e-01  2.4997708e+05            
1.1106815e-01  4.4236375e+05            
1.1112368e-01  3.0385749e+05            
1.1117924e-01  3.1732187e+05            
1.1123483e-01  3.0119772e+05            
1.1129045e-01  4.9443049e+05            
1.1134609e-01  5.6893091e+05            
1.1140177e-01  2.3315956e+05            
1.1145747e-01  4.9448868e+05            
1.1151320e-01  3.9244246e+05            
1.1156895e-01  5.2995988e+05            
1.1162473e-01  4.3190346e+05            
1.1168055e-01  4.7958672e+05            
1.1173639e-01  4.1203604e+05            
1.1179226e-01  5.1663291e+05            
1.1184815e-01  5.2777064e+05            
1.1190408e-01  6.5765434e+05            
1.1196003e-01  5.4478760e+05            
1.1201601e-01  4.8819927e+05            
1.1207202e-01  6.4090535e+05            
1.1212805e-01  5.7727994e+05            
1.1218411e-01  3.4075485e+05            
1.1224021e-01  3.3475225e+05            
1.1229634e-01  3.4855625e+05            
1.1235248e-01  6.1336561e+05            
1.1240866e-01  6.5892911e+05            
1.1246486e-01  5.8982919e+05            
1.1252109e-01  7.1520781e+05            
1.1257736e-01  7.9242475e+05            
1.1263364e-01  6.7234703e+05            
1.1268996e-01  4.4407653e+05            
1.1274631e-01  6.9132465e+05            
1.1280267e-01  4.8841104e+05            
1.1285907e-01  3.9449860e+05            
1.1291551e-01  3.7364148e+05            
1.1297196e-01  5.3868735e+05            
1.1302845e-01  6.9595778e+05            
1.1308497e-01  8.8059710e+05            
1.1314151e-01  7.2890394e+05            
1.1319808e-01  7.0644853e+05            
1.1325468e-01  9.2674743e+05            
1.1331130e-01  6.7298625e+05            
1.1336796e-01  7.3083522e+05            
1.1342465e-01  5.6810392e+05            
1.1348136e-01  5.9680706e+05            
1.1353810e-01  5.8491285e+05            
1.1359486e-01  7.3596280e+05            
1.1365167e-01  8.9577809e+05            
1.1370849e-01  9.7800948e+05            
1.1376535e-01  9.7369163e+05            
1.1382223e-01  8.5747064e+05            
1.1387913e-01  7.5228769e+05            
1.1393608e-01  4.2573269e+05            
1.1399305e-01  2.2453129e+05            
1.1405004e-01  7.5358174e+05            
1.1410707e-01  9.5799347e+05            
1.1416413e-01  1.0511564e+06            
1.1422120e-01  8.6505215e+05            
1.1427831e-01  1.1226141e+06            
1.1433545e-01  8.1396451e+05            
1.1439262e-01  1.0998463e+06            
1.1444982e-01  8.6131138e+05            
