lambda [um]    flux [erg s^-1 cm^-3]    
1.0000000e-01  1.0189792e+02            
1.0005000e-01  9.8784296e+01            
1.0010003e-01  1.3189908e+02            
1.0015007e-01  4.7770626e+01            
1.0020015e-01  1.2501287e+02            
1.0025025e-01  5.6590598e+01            
1.0030038e-01  8.1538466e+01            
1.0035052e-01  7.6117118e+01            
1.0040070e-01  9.9995726e+01            
1.0045090e-01  7.0497283e+01            
1.0050113e-01  1.3720502e+02            
1.0055137e-01  1.1444624e+02            
1.0060165e-01  7.2139579e+01            
1.0065195e-01  6.9425691e+01            
1.0070228e-01  1.3891503e+02            
1.0075263e-01  9.9314092e+01            
1.0080301e-01  1.0184686e+02            
1.0085341e-01  5.1860624e+01            
1.0090384e-01  5.8349836e+01            
1.0095429e-01  8.4051040e+01            
1.0100477e-01  9.7598720e+01            
1.0105527e-01  9.9929599e+01            
1.0110579e-01  1.4781133e+02            
1.0115635e-01  9.4755719e+01            
1.0120692e-01  1.1552422e+02            
1.0125753e-01  1.1881979e+02            
1.0130816e-01  1.3809372e+02            
1.0135882e-01  1.2354814e+02            
1.0140949e-01  9.0102705e+01            
1.0146019e-01  1.0093795e+02            
1.0151093e-01  6.8348359e+01            
1.0156168e-01  2.0559195e+02            
1.0161246e-01  1.5407563e+02            
1.0166327e-01  1.1066992e+02            
1.0171410e-01  1.1692244e+02            
1.0176496e-01  1.1752835e+02            
1.0181583e-01  1.1319030e+02            
1.0186675e-01  1.9182745e+02            
1.0191768e-01  1.9990286e+02            
1.0196864e-01  2.0733711e+02            
1.0201962e-01  1.8742384e+02            
1.0207064e-01  1.2015133e+02            
1.0212167e-01  1.1313892e+02            
1.0217273e-01  2.1127558e+02            
1.0222382e-01  1.7346429e+02            
1.0227493e-01  1.8758872e+02            
1.0232607e-01  1.4963985e+02            
1.0237723e-01  1.4967432e+02            
1.0242841e-01  1.8309918e+02            
1.0247963e-01  4.1688151e+01            
1.0253087e-01  1.5138571e+01            
1.0258214e-01  2.2676944e+00            
1.0263343e-01  4.3772389e+01            
1.0268474e-01  9.5161217e+01            
1.0273609e-01  2.3823286e+02            
1.0278745e-01  1.2349472e+02            
1.0283885e-01  1.3653189e+02            
1.0289027e-01  9.6927402e+01            
1.0294171e-01  1.3537261e+02            
1.0299319e-01  2.4309801e+02            
1.0304468e-01  1.5390990e+02            
1.0309621e-01  1.1821863e+02            
1.0314775e-01  2.2538168e+02            
1.0319932e-01  2.6972409e+02            
1.0325093e-01  4.0528525e+02            
1.0330255e-01  2.0939737e+02            
1.0335421e-01  2.6078394e+02            
1.0340588e-01  1.6991820e+02            
1.0345758e-01  3.1352562e+02            
1.0350931e-01  1.6842423e+02            
1.0356106e-01  2.3643152e+02            
1.0361285e-01  2.0313845e+02            
1.0366465e-01  2.0356172e+02            
1.0371648e-01  3.7323867e+02            
1.0376835e-01  4.3932346e+02            
1.0382023e-01  2.6993767e+02            
1.0387214e-01  3.7894242e+02            
1.0392407e-01  3.2976972e+02            
1.0397603e-01  4.6755902e+02            
1.0402803e-01  2.0919647e+02            
1.0408004e-01  4.0707575e+02            
1.0413208e-01  2.7916744e+02            
1.0418414e-01  4.2604788e+02            
1.0423623e-01  4.5750706e+02            
1.0428836e-01  4.1825782e+02            
1.0434050e-01  5.2420016e+02            
1.0439267e-01  3.7756555e+02            
1.0444486e-01  4.1513122e+02            
1.0449708e-01  4.5628166e+02            
1.0454934e-01  4.0416457e+02            
1.0460161e-01  4.8668305e+02            
1.0465391e-01  4.9961177e+02            
1.0470624e-01  4.8424886e+02            
1.0475859e-01  3.3349420e+02            
1.0481097e-01  5.0210410e+02            
1.0486337e-01  4.6606575e+02            
1.0491581e-01  4.5112709e+02            
1.0496826e-01  5.1665456e+02            
1.0502075e-01  3.2542214e+02            
1.0507326e-01  5.4135050e+02            
1.0512580e-01  5.3696339e+02            
1.0517836e-01  5.7080648e+02            
1.0523095e-01  2.6967933e+02            
1.0528356e-01  3.8091080e+02            
1.0533621e-01  5.5954767e+02            
1.0538887e-01  6.0772344e+02            
1.0544157e-01  5.9281490e+02            
1.0549429e-01  8.0701523e+02            
1.0554703e-01  4.6704694e+02            
1.0559981e-01  5.9504279e+02            
1.0565260e-01  3.6944611e+02            
1.0570544e-01  5.8258564e+02            
1.0575828e-01  5.8228461e+02            
1.0581117e-01  4.3356580e+02            
1.0586408e-01  8.2394002e+02            
1.0591700e-01  5.8966392e+02            
1.0596997e-01  7.4677875e+02            
1.0602295e-01  9.2013461e+02            
1.0607596e-01  8.7785323e+02            
1.0612900e-01  1.0495887e+03            
1.0618206e-01  3.5761204e+02            
1.0623515e-01  8.0512460e+02            
1.0628827e-01  4.3146565e+02            
1.0634142e-01  9.6325508e+02            
1.0639458e-01  6.4299196e+02            
1.0644779e-01  7.7169700e+02            
1.0650100e-01  4.4796143e+02            
1.0655426e-01  4.9302601e+02            
1.0660754e-01  1.0833390e+03            
1.0666084e-01  1.0379452e+03            
1.0671417e-01  7.0849150e+02            
1.0676752e-01  8.2453262e+02            
1.0682091e-01  7.5217873e+02            
1.0687432e-01  4.9136118e+02            
1.0692775e-01  1.4020014e+03            
1.0698122e-01  1.0770290e+03            
1.0703471e-01  1.0221964e+03            
1.0708823e-01  8.5711527e+02            
1.0714177e-01  6.0108088e+02            
1.0719535e-01  1.2679025e+03            
1.0724895e-01  1.0919123e+03            
1.0730256e-01  7.0733551e+02            
1.0735622e-01  9.8286280e+02            
1.0740990e-01  9.6556057e+02            
1.0746361e-01  6.0140016e+02            
1.0751733e-01  1.0678075e+03            
1.0757109e-01  1.5242804e+03            
1.0762488e-01  1.5544972e+03            
1.0767869e-01  1.2353836e+03            
1.0773252e-01  1.3302567e+03            
1.0778639e-01  5.4338303e+02            
1.0784029e-01  7.2582398e+02            
1.0789421e-01  8.4647094e+02            
1.0794816e-01  1.1245390e+03            
1.0800213e-01  1.1280852e+03            
1.0805614e-01  6.5228370e+02            
1.0811015e-01  7.3833623e+02            
1.0816421e-01  1.0553123e+03            
1.0821829e-01  1.3201021e+03            
1.0827240e-01  2.1159527e+03            
1.0832654e-01  9.5429687e+02            
1.0838070e-01  1.8823762e+03            
1.0843489e-01  1.5964025e+03            
1.0848911e-01  1.5037004e+03            
1.0854336e-01  1.4049063e+03            
1.0859763e-01  1.6843518e+03            
1.0865193e-01  1.5016459e+03            
1.0870625e-01  1.9640812e+03            
1.0876060e-01  1.4051681e+03            
1.0881498e-01  1.6861020e+03            
1.0886939e-01  1.7315071e+03            
1.0892382e-01  1.1954393e+03            
1.0897828e-01  1.1800538e+03            
1.0903278e-01  2.3857190e+03            
1.0908730e-01  2.2227324e+03            
1.0914184e-01  7.6138911e+02            
1.0919641e-01  1.4897257e+03            
1.0925100e-01  1.5495267e+03            
1.0930564e-01  2.7922398e+03            
1.0936029e-01  1.2978903e+03            
1.0941497e-01  2.3300545e+03            
1.0946967e-01  1.9846056e+03            
1.0952441e-01  1.9497664e+03            
1.0957917e-01  1.8798052e+03            
1.0963396e-01  1.7058001e+03            
1.0968878e-01  1.1714256e+03            
1.0974362e-01  1.6967441e+03            
1.0979849e-01  2.2410757e+03            
1.0985340e-01  1.4319655e+03            
1.0990832e-01  2.5252674e+03            
1.0996328e-01  1.2357485e+03            
1.1001825e-01  2.0584529e+03            
1.1007327e-01  8.1529619e+02            
1.1012830e-01  1.9786214e+03            
1.1018337e-01  2.2766809e+03            
1.1023846e-01  3.3658824e+03            
1.1029358e-01  5.0042968e+03            
1.1034872e-01  4.2563322e+03            
1.1040390e-01  3.2141280e+03            
1.1045910e-01  3.0282088e+03            
1.1051433e-01  4.2353663e+03            
1.1056959e-01  2.7194348e+03            
1.1062488e-01  3.2146121e+03            
1.1068018e-01  4.2859898e+03            
1.1073552e-01  3.6604395e+03            
1.1079089e-01  2.3328308e+03            
1.1084629e-01  3.5175616e+03            
1.1090172e-01  3.1059119e+03            
1.1095716e-01  3.5912505e+03            
1.1101264e-01  2.4349992e+03            
1.1106815e-01  3.7087914e+03            
1.1112368e-01  4.4707562e+03            
1.1117924e-01  3.8480199e+03            
1.1123483e-01  2.4363319e+03            
1.1129045e-01  4.6915201e+03            
1.1134609e-01  4.9003846e+03            
1.1140177e-01  3.5742842e+03            
1.1145747e-01  4.4457049e+03            
1.1151320e-01  3.1282727e+03            
1.1156895e-01  3.6747074e+03            
1.1162473e-01  2.6880582e+03            
1.1168055e-01  4.6585856e+03            
1.1173639e-01  5.1097850e+03            
1.1179226e-01  4.6972654e+03            
1.1184815e-01  5.1221927e+03            
1.1190408e-01  5.2360992e+03            
1.1196003e-01  4.0816332e+03            
1.1201601e-01  3.6184880e+03            
1.1207202e-01  5.2223007e+03            
1.1212805e-01  3.7513725e+03            
1.1218411e-01  3.4843543e+03            
1.1224021e-01  3.8062546e+03            
1.1229634e-01  5.9495325e+03            
1.1235248e-01  5.1434699e+03            
1.1240866e-01  5.5246911e+03            
1.1246486e-01  4.1419632e+03            
1.1252109e-01  5.8227560e+03            
1.1257736e-01  6.9941117e+03            
1.1263364e-01  6.5484975e+03            
1.1268996e-01  3.6938624e+03            
