Name	Type	Standard Number	Molecular Mass	Initial Mixing Ratio	Upper Boundary Flux Beside Escape (Upwards)	Lower Boundary Type	Dry Deposition Velocity	Lower Boundary Flux (Upwards)
H	X	3	1	0	0	2	0	0
H2	X	53	2	0	0	2	0	0
O	X	1	16	0	0	2	0	0
O(1D)	X	56	16	0	0	2	0	0
O2	X	54	32	0	0	2	0	0
O3	X	2	48	0	0	2	0	0
OH	X	4	17	0	0	2	0	0
HO2	X	5	33	0	0	2	0	0
H2O	X	7	18	0	0	2	0	0
H2O2	X	6	34	0	0	2	0	0
CO2	X	52	44	0	0	2	0	0
CO	X	20	28	0	0	2	0	0
CH2O	X	22	30	0	0	2	0	0
CHO	X	61	29	0	0	2	0	0
C	X	19	12	0	0	2	0	0
CH	X	58	13	0	0	2	0	0
CH2	X	59	14	0	0	2	0	0	
CH21	X	80	14	0	0	2	0	0
CH3	X	60	15	0	0	2	0	0
CH4	X	21	16	0	0	2	0	0
CH3O	X	62	31	0	0	2	0	0
CH4O	X	24	32	0	0	2	0	0
CHO2	X	63	45	0	0	2	0	0
CH2O2	X	23	46	0	0	2	0	0
CH3O2	X	71	47	0	0	2	0	0
CH4O2	X	25	48	0	0	2	0	0
C2	X	26	24	0	0	2	0	0
C2H	X	64	25	0	0	2	0	0
C2H2	X	27	26	0	0	2	0	0
C2H3	X	28	27	0	0	2	0	0
C2H4	X	29	28	0	0	2	0	0
C2H5	X	30	29	0	0	2	0	0
C2H6	X	31	30	0	0	2	0	0
C2HO	X	32	41	0	0	2	0	0
C2H2O	X	33	42	0	0	2	0	0
C2H3O	X	34	43	0	0	2	0	0
C2H4O	X	35	44	0	0	2	0	0
C2H5O	X	36	45	0	0	2	0	0
