Layer	  log(P)	nClouds	Molec[7]	Cloud[7]	Molec[9]	Cloud[9]
29	5.341667	0	7.7597e-04	0.0000e+00	1.1551e-04	0.0000e+00
30	5.250000	0	7.7534e-04	0.0000e+00	1.1553e-04	0.0000e+00
31	5.158333	0	7.7431e-04	0.0000e+00	1.1552e-04	0.0000e+00
32	5.066667	0	7.7291e-04	0.0000e+00	1.1552e-04	0.0000e+00
33	4.975000	0	7.7103e-04	0.0000e+00	1.1553e-04	0.0000e+00
34	4.883333	0	7.6862e-04	0.0000e+00	1.1552e-04	0.0000e+00
35	4.791667	0	7.6574e-04	0.0000e+00	1.1552e-04	0.0000e+00
36	4.700000	1	2.9910e-04	1.0118e-05	1.3536e-04	0.0000e+00
37	4.608333	1	6.3810e-05	5.9998e-05	1.3538e-04	0.0000e+00
38	4.516667	1	1.1851e-05	7.2051e-05	1.3539e-04	0.0000e+00
39	4.425000	1	1.9649e-06	7.4155e-05	1.3540e-04	0.0000e+00
40	4.333333	1	2.7800e-07	7.4112e-05	1.3539e-04	0.0000e+00
41	4.241667	1	3.3711e-08	7.3748e-05	1.3540e-04	0.0000e+00
42	4.150000	1	5.1957e-09	7.3431e-05	1.3540e-04	0.0000e+00
43	4.058333	1	1.4269e-09	7.3229e-05	1.3540e-04	0.0000e+00
44	3.966667	1	6.3258e-10	7.3123e-05	1.3539e-04	0.0000e+00
45	3.875000	1	3.9819e-10	7.3083e-05	1.3539e-04	0.0000e+00
46	3.783333	1	3.1396e-10	7.3079e-05	1.3539e-04	0.0000e+00
47	3.691667	1	2.9203e-10	7.3069e-05	1.3540e-04	0.0000e+00
48	3.600000	1	2.9938e-10	7.3067e-05	1.3539e-04	0.0000e+00
49	3.508333	1	3.2203e-10	7.3054e-05	1.3539e-04	0.0000e+00
50	3.416667	1	3.6447e-10	7.3038e-05	1.3539e-04	0.0000e+00
51	3.325000	1	4.0363e-10	7.3025e-05	1.3538e-04	0.0000e+00
52	3.233333	1	4.2772e-10	7.2999e-05	1.3539e-04	0.0000e+00
53	3.141667	1	4.3311e-10	7.2986e-05	1.3540e-04	0.0000e+00
54	3.050000	1	4.1706e-10	7.2973e-05	1.3539e-04	0.0000e+00
55	2.958333	1	3.2549e-10	7.2970e-05	1.3539e-04	0.0000e+00
56	2.866667	1	1.8154e-10	7.2954e-05	1.3541e-04	0.0000e+00
57	2.775000	1	8.1620e-11	7.2963e-05	1.3540e-04	0.0000e+00
58	2.683333	1	3.2936e-11	7.2953e-05	1.3539e-04	0.0000e+00
59	2.591667	1	1.2413e-11	7.2952e-05	1.3538e-04	0.0000e+00
60	2.500000	1	4.4222e-12	7.2952e-05	1.3539e-04	0.0000e+00
