X3	1.284801e+06	1.300226e-22
X53	8.169148e-12	8.267225e-40
X1	1.096076e+26	1.109235e-02
X56	1.797429e+26	1.819008e-02
X54	5.302044e+26	5.365699e-02
X2	1.874083e+27	1.896583e-01
X4	2.496086e+06	2.526054e-22
X5	7.368895e+06	7.457364e-22
X7	2.457200e-14	2.486700e-42
X6	2.879206e-14	2.913773e-42
X52	1.104490e+25	1.117750e-03
X20	2.885074e+27	2.919711e-01
X22	1.563488e-10	1.582258e-38
X61	3.418479e+07	3.459520e-21
X19	1.920085e+26	1.943137e-02
X58	8.808181e+06	8.913930e-22
X59	5.669149e-10	5.737212e-38
X80	3.066646e-31	3.103464e-59
X60	6.482986e-15	6.560819e-43
X21	1.331029e-32	1.347009e-60
X62	5.988414e-16	6.060310e-44
X24	2.363323e-36	2.391697e-64
X63	1.341830e+05	1.357940e-23
X23	2.758951e-12	2.792074e-40
X71	1.378543e-19	1.395093e-47
X25	9.034922e-35	9.143393e-63
X26	3.393749e+27	3.434494e-01
X64	1.681831e+08	1.702023e-20
X27	9.972432e-10	1.009216e-37
X28	1.213131e-10	1.227696e-38
X29	9.530295e-31	9.644713e-59
X30	5.100197e-40	5.161429e-68
X31	8.994301e-51	9.102285e-79
X32	2.021323e+07	2.045590e-21
X33	7.356276e-08	7.444594e-36
X34	2.283857e-09	2.311277e-37
X35	1.680048e-30	1.700219e-58
X36	1.026950e-42	1.039279e-70
