#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	8.000000	1231.736643
inf	7.908333	1227.470078
inf	7.816667	1223.773244
inf	7.725000	1221.133433
inf	7.633333	1214.670382
inf	7.541667	1206.401677
inf	7.450000	1199.277447
inf	7.358333	1193.225839
inf	7.266667	1188.297661
inf	7.175000	1183.912080
inf	7.083333	1179.432112
inf	6.991667	1174.749212
inf	6.900000	1169.836783
inf	6.808333	1164.157202
inf	6.716667	1157.293007
inf	6.625000	1148.728032
inf	6.533333	1138.079232
inf	6.441667	1124.641004
inf	6.350000	1107.822483
inf	6.258333	1087.013603
inf	6.166667	1061.685584
inf	6.075000	1031.534957
inf	5.983333	995.876480
inf	5.891667	953.872351
inf	5.800000	905.650444
inf	5.708333	854.293764
inf	5.616667	802.737772
inf	5.525000	753.583447
inf	5.433333	706.974143
inf	5.341667	663.542934
inf	5.250000	623.029358
inf	5.158333	585.147550
inf	5.066667	549.692115
inf	4.975000	517.059185
inf	4.883333	488.141890
inf	4.791667	463.055407
inf	4.700000	441.244948
inf	4.608333	421.252083
inf	4.516667	402.124701
inf	4.425000	382.570223
inf	4.333333	361.981915
inf	4.241667	341.065447
inf	4.150000	322.142374
inf	4.058333	307.593333
inf	3.966667	297.319008
inf	3.875000	289.962269
inf	3.783333	283.864195
inf	3.691667	278.632326
inf	3.600000	274.082540
inf	3.508333	270.016979
inf	3.416667	266.321808
inf	3.325000	262.959757
inf	3.233333	260.011994
inf	3.141667	257.749493
inf	3.050000	256.283934
inf	2.958333	255.076658
inf	2.866667	253.672823
inf	2.775000	251.791415
inf	2.683333	249.773087
inf	2.591667	247.733055
inf	2.500000	245.791606
inf	2.408333	244.097103
inf	2.316667	242.891837
inf	2.225000	242.617110
inf	2.133333	244.041716
inf	2.041667	246.839462
inf	1.950000	249.631918
inf	1.858333	251.499958
inf	1.766667	252.467062
inf	1.675000	253.402116
inf	1.583333	254.338946
inf	1.491667	255.355051
inf	1.400000	256.525368
inf	1.308333	257.944613
inf	1.216667	259.718019
inf	1.125000	261.927875
inf	1.033333	264.151375
inf	0.941667	265.774120
inf	0.850000	266.562623
inf	0.758333	266.753628
inf	0.666667	266.754950
inf	0.575000	266.577699
inf	0.483333	266.230771
inf	0.391667	265.722776
inf	0.300000	265.075705
inf	0.208333	264.311486
inf	0.116667	263.419038
inf	0.025000	262.309999
inf	-0.066667	260.899245
inf	-0.158333	259.181822
inf	-0.250000	257.229461
inf	-0.341667	255.123055
inf	-0.433333	252.897349
inf	-0.525000	250.586909
inf	-0.616667	248.220575
inf	-0.708333	245.825875
inf	-0.800000	243.434430
inf	-0.891667	241.081443
inf	-0.983333	238.797905
inf	-1.075000	236.610291
inf	-1.166667	234.538681
inf	-1.258333	232.589069
inf	-1.350000	230.742267
inf	-1.441667	228.950428
inf	-1.533333	227.151419
inf	-1.625000	225.285100
inf	-1.716667	223.310527
inf	-1.808333	221.213065
inf	-1.900000	218.998101
inf	-1.991667	216.676168
inf	-2.083333	214.241148
inf	-2.175000	211.645302
inf	-2.266667	208.784337
inf	-2.358333	205.533658
inf	-2.450000	201.752452
inf	-2.541667	197.353552
inf	-2.633333	192.447683
inf	-2.725000	187.281314
inf	-2.816667	182.288388
inf	-2.908333	177.337582
inf	-3.000000	172.300882
