#Height(km)	Pressure(log10(Pascal))	Temperature(K)
0.000000	8.000000	1273.470516
inf	7.908333	1259.757854
inf	7.816667	1242.439805
inf	7.725000	1229.957668
inf	7.633333	1218.619866
inf	7.541667	1210.658847
inf	7.450000	1201.708127
inf	7.358333	1194.394717
inf	7.266667	1188.422875
inf	7.175000	1183.424045
inf	7.083333	1178.828732
inf	6.991667	1174.087934
inf	6.900000	1169.085656
inf	6.808333	1163.258641
inf	6.716667	1156.185237
inf	6.625000	1147.307630
inf	6.533333	1136.227103
inf	6.441667	1122.283019
inf	6.350000	1104.898612
inf	6.258333	1083.371539
inf	6.166667	1057.261860
inf	6.075000	1026.275020
inf	5.983333	990.139087
inf	5.891667	946.396164
inf	5.800000	896.530910
inf	5.708333	843.647645
inf	5.616667	792.386694
inf	5.525000	743.939373
inf	5.433333	698.010559
inf	5.341667	655.105306
inf	5.250000	615.046089
inf	5.158333	577.642298
inf	5.066667	542.391034
inf	4.975000	509.734849
inf	4.883333	480.919104
inf	4.791667	456.397752
inf	4.700000	435.516295
inf	4.608333	416.451848
inf	4.516667	397.873891
inf	4.425000	378.664545
inf	4.333333	358.225077
inf	4.241667	337.747966
inf	4.150000	319.361677
inf	4.058333	305.390190
inf	3.966667	295.511615
inf	3.875000	288.437814
inf	3.783333	282.541819
inf	3.691667	277.493339
inf	3.600000	273.089370
inf	3.508333	269.151809
inf	3.416667	265.561955
inf	3.325000	262.292773
inf	3.233333	259.422393
inf	3.141667	257.227677
inf	3.050000	255.824466
inf	2.958333	254.680336
inf	2.866667	253.346698
inf	2.775000	251.545857
inf	2.683333	249.618919
inf	2.591667	247.675700
inf	2.500000	245.832195
inf	2.408333	244.239623
inf	2.316667	243.145929
inf	2.225000	242.994565
inf	2.133333	244.543171
inf	2.041667	247.440898
inf	1.950000	250.301259
inf	1.858333	252.203499
inf	1.766667	253.183109
inf	1.675000	254.109458
inf	1.583333	255.019396
inf	1.491667	255.990697
inf	1.400000	257.097601
inf	1.308333	258.432917
inf	1.216667	260.106340
inf	1.125000	262.210497
inf	1.033333	264.338085
inf	0.941667	265.887523
inf	0.850000	266.621992
inf	0.758333	266.769111
inf	0.666667	266.721771
inf	0.575000	266.486376
inf	0.483333	266.071583
inf	0.391667	265.488874
inf	0.300000	264.761406
inf	0.208333	263.909961
inf	0.116667	262.923203
inf	0.025000	261.718296
inf	-0.066667	260.217521
inf	-0.158333	258.421542
inf	-0.250000	256.405955
inf	-0.341667	254.254451
inf	-0.433333	252.004228
inf	-0.525000	249.688656
inf	-0.616667	247.334057
inf	-0.708333	244.965560
inf	-0.800000	242.612536
inf	-0.891667	240.306819
inf	-0.983333	238.074941
inf	-1.075000	235.938204
inf	-1.166667	233.912100
inf	-1.258333	231.999718
inf	-1.350000	230.180474
inf	-1.441667	228.406466
inf	-1.533333	226.615608
inf	-1.625000	224.748605
inf	-1.716667	222.765516
inf	-1.808333	220.652568
inf	-1.900000	218.415194
inf	-1.991667	216.062216
inf	-2.083333	213.582382
inf	-2.175000	210.920198
inf	-2.266667	207.974521
inf	-2.358333	204.633148
inf	-2.450000	200.790781
inf	-2.541667	196.423171
inf	-2.633333	191.679674
inf	-2.725000	186.810373
inf	-2.816667	182.201031
inf	-2.908333	177.637774
inf	-3.000000	172.957141
