#p (bar)	T (K)
1.000e-06	1.000e+02
2.154e-06	1.000e+02
4.642e-06	1.000e+02
1.000e-05	1.000e+02
2.154e-05	1.000e+02
4.642e-05	1.000e+02
1.000e-04	1.000e+02
2.154e-04	1.000e+02
4.642e-04	1.000e+02
1.000e-03	1.000e+02
2.154e-03	1.000e+02
4.642e-03	1.000e+02
1.000e-02	1.000e+02
2.154e-02	1.000e+02
4.642e-02	1.000e+02
1.000e-01	1.000e+02
2.154e-01	1.000e+02
4.642e-01	1.000e+02
1.000e+00	1.000e+02
2.154e+00	1.000e+02
4.642e+00	1.000e+02
1.000e+01	1.000e+02
2.154e+01	1.000e+02
4.642e+01	1.000e+02
1.000e+02	1.000e+02
2.154e+02	1.000e+02
4.642e+02	1.000e+02
1.000e+03	1.000e+02
1.000e-06	1.500e+02
2.154e-06	1.500e+02
4.642e-06	1.500e+02
1.000e-05	1.500e+02
2.154e-05	1.500e+02
4.642e-05	1.500e+02
1.000e-04	1.500e+02
2.154e-04	1.500e+02
4.642e-04	1.500e+02
1.000e-03	1.500e+02
2.154e-03	1.500e+02
4.642e-03	1.500e+02
1.000e-02	1.500e+02
2.154e-02	1.500e+02
4.642e-02	1.500e+02
1.000e-01	1.500e+02
2.154e-01	1.500e+02
4.642e-01	1.500e+02
1.000e+00	1.500e+02
2.154e+00	1.500e+02
4.642e+00	1.500e+02
1.000e+01	1.500e+02
2.154e+01	1.500e+02
4.642e+01	1.500e+02
1.000e+02	1.500e+02
2.154e+02	1.500e+02
4.642e+02	1.500e+02
1.000e+03	1.500e+02
1.000e-06	2.000e+02
2.154e-06	2.000e+02
4.642e-06	2.000e+02
1.000e-05	2.000e+02
2.154e-05	2.000e+02
4.642e-05	2.000e+02
1.000e-04	2.000e+02
2.154e-04	2.000e+02
4.642e-04	2.000e+02
1.000e-03	2.000e+02
2.154e-03	2.000e+02
4.642e-03	2.000e+02
1.000e-02	2.000e+02
2.154e-02	2.000e+02
4.642e-02	2.000e+02
1.000e-01	2.000e+02
2.154e-01	2.000e+02
4.642e-01	2.000e+02
1.000e+00	2.000e+02
2.154e+00	2.000e+02
4.642e+00	2.000e+02
1.000e+01	2.000e+02
2.154e+01	2.000e+02
4.642e+01	2.000e+02
1.000e+02	2.000e+02
2.154e+02	2.000e+02
4.642e+02	2.000e+02
1.000e+03	2.000e+02
1.000e-06	2.500e+02
2.154e-06	2.500e+02
4.642e-06	2.500e+02
1.000e-05	2.500e+02
2.154e-05	2.500e+02
4.642e-05	2.500e+02
1.000e-04	2.500e+02
2.154e-04	2.500e+02
4.642e-04	2.500e+02
1.000e-03	2.500e+02
2.154e-03	2.500e+02
4.642e-03	2.500e+02
1.000e-02	2.500e+02
2.154e-02	2.500e+02
4.642e-02	2.500e+02
1.000e-01	2.500e+02
2.154e-01	2.500e+02
4.642e-01	2.500e+02
1.000e+00	2.500e+02
2.154e+00	2.500e+02
4.642e+00	2.500e+02
1.000e+01	2.500e+02
2.154e+01	2.500e+02
4.642e+01	2.500e+02
1.000e+02	2.500e+02
2.154e+02	2.500e+02
4.642e+02	2.500e+02
1.000e+03	2.500e+02
1.000e-06	3.000e+02
2.154e-06	3.000e+02
4.642e-06	3.000e+02
1.000e-05	3.000e+02
2.154e-05	3.000e+02
4.642e-05	3.000e+02
1.000e-04	3.000e+02
2.154e-04	3.000e+02
4.642e-04	3.000e+02
1.000e-03	3.000e+02
2.154e-03	3.000e+02
4.642e-03	3.000e+02
1.000e-02	3.000e+02
2.154e-02	3.000e+02
4.642e-02	3.000e+02
1.000e-01	3.000e+02
2.154e-01	3.000e+02
4.642e-01	3.000e+02
1.000e+00	3.000e+02
2.154e+00	3.000e+02
4.642e+00	3.000e+02
1.000e+01	3.000e+02
2.154e+01	3.000e+02
4.642e+01	3.000e+02
1.000e+02	3.000e+02
2.154e+02	3.000e+02
4.642e+02	3.000e+02
1.000e+03	3.000e+02
1.000e-06	3.500e+02
2.154e-06	3.500e+02
4.642e-06	3.500e+02
1.000e-05	3.500e+02
2.154e-05	3.500e+02
4.642e-05	3.500e+02
1.000e-04	3.500e+02
2.154e-04	3.500e+02
4.642e-04	3.500e+02
1.000e-03	3.500e+02
2.154e-03	3.500e+02
4.642e-03	3.500e+02
1.000e-02	3.500e+02
2.154e-02	3.500e+02
4.642e-02	3.500e+02
1.000e-01	3.500e+02
2.154e-01	3.500e+02
4.642e-01	3.500e+02
1.000e+00	3.500e+02
2.154e+00	3.500e+02
4.642e+00	3.500e+02
1.000e+01	3.500e+02
2.154e+01	3.500e+02
4.642e+01	3.500e+02
1.000e+02	3.500e+02
2.154e+02	3.500e+02
4.642e+02	3.500e+02
1.000e+03	3.500e+02
1.000e-06	4.000e+02
2.154e-06	4.000e+02
4.642e-06	4.000e+02
1.000e-05	4.000e+02
2.154e-05	4.000e+02
4.642e-05	4.000e+02
1.000e-04	4.000e+02
2.154e-04	4.000e+02
4.642e-04	4.000e+02
1.000e-03	4.000e+02
2.154e-03	4.000e+02
4.642e-03	4.000e+02
1.000e-02	4.000e+02
2.154e-02	4.000e+02
4.642e-02	4.000e+02
1.000e-01	4.000e+02
2.154e-01	4.000e+02
4.642e-01	4.000e+02
1.000e+00	4.000e+02
2.154e+00	4.000e+02
4.642e+00	4.000e+02
1.000e+01	4.000e+02
2.154e+01	4.000e+02
4.642e+01	4.000e+02
1.000e+02	4.000e+02
2.154e+02	4.000e+02
4.642e+02	4.000e+02
1.000e+03	4.000e+02
1.000e-06	4.500e+02
2.154e-06	4.500e+02
4.642e-06	4.500e+02
1.000e-05	4.500e+02
2.154e-05	4.500e+02
4.642e-05	4.500e+02
1.000e-04	4.500e+02
2.154e-04	4.500e+02
4.642e-04	4.500e+02
1.000e-03	4.500e+02
2.154e-03	4.500e+02
4.642e-03	4.500e+02
1.000e-02	4.500e+02
2.154e-02	4.500e+02
4.642e-02	4.500e+02
1.000e-01	4.500e+02
2.154e-01	4.500e+02
4.642e-01	4.500e+02
1.000e+00	4.500e+02
2.154e+00	4.500e+02
4.642e+00	4.500e+02
1.000e+01	4.500e+02
2.154e+01	4.500e+02
4.642e+01	4.500e+02
1.000e+02	4.500e+02
2.154e+02	4.500e+02
4.642e+02	4.500e+02
1.000e+03	4.500e+02
1.000e-06	5.000e+02
2.154e-06	5.000e+02
4.642e-06	5.000e+02
1.000e-05	5.000e+02
2.154e-05	5.000e+02
4.642e-05	5.000e+02
1.000e-04	5.000e+02
2.154e-04	5.000e+02
4.642e-04	5.000e+02
1.000e-03	5.000e+02
2.154e-03	5.000e+02
4.642e-03	5.000e+02
1.000e-02	5.000e+02
2.154e-02	5.000e+02
4.642e-02	5.000e+02
1.000e-01	5.000e+02
2.154e-01	5.000e+02
4.642e-01	5.000e+02
1.000e+00	5.000e+02
2.154e+00	5.000e+02
4.642e+00	5.000e+02
1.000e+01	5.000e+02
2.154e+01	5.000e+02
4.642e+01	5.000e+02
1.000e+02	5.000e+02
2.154e+02	5.000e+02
4.642e+02	5.000e+02
1.000e+03	5.000e+02
1.000e-06	5.500e+02
2.154e-06	5.500e+02
4.642e-06	5.500e+02
1.000e-05	5.500e+02
2.154e-05	5.500e+02
4.642e-05	5.500e+02
1.000e-04	5.500e+02
2.154e-04	5.500e+02
4.642e-04	5.500e+02
1.000e-03	5.500e+02
2.154e-03	5.500e+02
4.642e-03	5.500e+02
1.000e-02	5.500e+02
2.154e-02	5.500e+02
4.642e-02	5.500e+02
1.000e-01	5.500e+02
2.154e-01	5.500e+02
4.642e-01	5.500e+02
1.000e+00	5.500e+02
2.154e+00	5.500e+02
4.642e+00	5.500e+02
1.000e+01	5.500e+02
2.154e+01	5.500e+02
4.642e+01	5.500e+02
1.000e+02	5.500e+02
2.154e+02	5.500e+02
4.642e+02	5.500e+02
1.000e+03	5.500e+02
1.000e-06	6.000e+02
2.154e-06	6.000e+02
4.642e-06	6.000e+02
1.000e-05	6.000e+02
2.154e-05	6.000e+02
4.642e-05	6.000e+02
1.000e-04	6.000e+02
2.154e-04	6.000e+02
4.642e-04	6.000e+02
1.000e-03	6.000e+02
2.154e-03	6.000e+02
4.642e-03	6.000e+02
1.000e-02	6.000e+02
2.154e-02	6.000e+02
4.642e-02	6.000e+02
1.000e-01	6.000e+02
2.154e-01	6.000e+02
4.642e-01	6.000e+02
1.000e+00	6.000e+02
2.154e+00	6.000e+02
4.642e+00	6.000e+02
1.000e+01	6.000e+02
2.154e+01	6.000e+02
4.642e+01	6.000e+02
1.000e+02	6.000e+02
2.154e+02	6.000e+02
4.642e+02	6.000e+02
1.000e+03	6.000e+02
1.000e-06	6.500e+02
2.154e-06	6.500e+02
4.642e-06	6.500e+02
1.000e-05	6.500e+02
2.154e-05	6.500e+02
4.642e-05	6.500e+02
1.000e-04	6.500e+02
2.154e-04	6.500e+02
4.642e-04	6.500e+02
1.000e-03	6.500e+02
2.154e-03	6.500e+02
4.642e-03	6.500e+02
1.000e-02	6.500e+02
2.154e-02	6.500e+02
4.642e-02	6.500e+02
1.000e-01	6.500e+02
2.154e-01	6.500e+02
4.642e-01	6.500e+02
1.000e+00	6.500e+02
2.154e+00	6.500e+02
4.642e+00	6.500e+02
1.000e+01	6.500e+02
2.154e+01	6.500e+02
4.642e+01	6.500e+02
1.000e+02	6.500e+02
2.154e+02	6.500e+02
4.642e+02	6.500e+02
1.000e+03	6.500e+02
1.000e-06	7.000e+02
2.154e-06	7.000e+02
4.642e-06	7.000e+02
1.000e-05	7.000e+02
2.154e-05	7.000e+02
4.642e-05	7.000e+02
1.000e-04	7.000e+02
2.154e-04	7.000e+02
4.642e-04	7.000e+02
1.000e-03	7.000e+02
2.154e-03	7.000e+02
4.642e-03	7.000e+02
1.000e-02	7.000e+02
2.154e-02	7.000e+02
4.642e-02	7.000e+02
1.000e-01	7.000e+02
2.154e-01	7.000e+02
4.642e-01	7.000e+02
1.000e+00	7.000e+02
2.154e+00	7.000e+02
4.642e+00	7.000e+02
1.000e+01	7.000e+02
2.154e+01	7.000e+02
4.642e+01	7.000e+02
1.000e+02	7.000e+02
2.154e+02	7.000e+02
4.642e+02	7.000e+02
1.000e+03	7.000e+02
1.000e-06	7.500e+02
2.154e-06	7.500e+02
4.642e-06	7.500e+02
1.000e-05	7.500e+02
2.154e-05	7.500e+02
4.642e-05	7.500e+02
1.000e-04	7.500e+02
2.154e-04	7.500e+02
4.642e-04	7.500e+02
1.000e-03	7.500e+02
2.154e-03	7.500e+02
4.642e-03	7.500e+02
1.000e-02	7.500e+02
2.154e-02	7.500e+02
4.642e-02	7.500e+02
1.000e-01	7.500e+02
2.154e-01	7.500e+02
4.642e-01	7.500e+02
1.000e+00	7.500e+02
2.154e+00	7.500e+02
4.642e+00	7.500e+02
1.000e+01	7.500e+02
2.154e+01	7.500e+02
4.642e+01	7.500e+02
1.000e+02	7.500e+02
2.154e+02	7.500e+02
4.642e+02	7.500e+02
1.000e+03	7.500e+02
1.000e-06	8.000e+02
2.154e-06	8.000e+02
4.642e-06	8.000e+02
1.000e-05	8.000e+02
2.154e-05	8.000e+02
4.642e-05	8.000e+02
1.000e-04	8.000e+02
2.154e-04	8.000e+02
4.642e-04	8.000e+02
1.000e-03	8.000e+02
2.154e-03	8.000e+02
4.642e-03	8.000e+02
1.000e-02	8.000e+02
2.154e-02	8.000e+02
4.642e-02	8.000e+02
1.000e-01	8.000e+02
2.154e-01	8.000e+02
4.642e-01	8.000e+02
1.000e+00	8.000e+02
2.154e+00	8.000e+02
4.642e+00	8.000e+02
1.000e+01	8.000e+02
2.154e+01	8.000e+02
4.642e+01	8.000e+02
1.000e+02	8.000e+02
2.154e+02	8.000e+02
4.642e+02	8.000e+02
1.000e+03	8.000e+02
1.000e-06	8.500e+02
2.154e-06	8.500e+02
4.642e-06	8.500e+02
1.000e-05	8.500e+02
2.154e-05	8.500e+02
4.642e-05	8.500e+02
1.000e-04	8.500e+02
2.154e-04	8.500e+02
4.642e-04	8.500e+02
1.000e-03	8.500e+02
2.154e-03	8.500e+02
4.642e-03	8.500e+02
1.000e-02	8.500e+02
2.154e-02	8.500e+02
4.642e-02	8.500e+02
1.000e-01	8.500e+02
2.154e-01	8.500e+02
4.642e-01	8.500e+02
1.000e+00	8.500e+02
2.154e+00	8.500e+02
4.642e+00	8.500e+02
1.000e+01	8.500e+02
2.154e+01	8.500e+02
4.642e+01	8.500e+02
1.000e+02	8.500e+02
2.154e+02	8.500e+02
4.642e+02	8.500e+02
1.000e+03	8.500e+02
1.000e-06	9.000e+02
2.154e-06	9.000e+02
4.642e-06	9.000e+02
1.000e-05	9.000e+02
2.154e-05	9.000e+02
4.642e-05	9.000e+02
1.000e-04	9.000e+02
2.154e-04	9.000e+02
4.642e-04	9.000e+02
1.000e-03	9.000e+02
2.154e-03	9.000e+02
4.642e-03	9.000e+02
1.000e-02	9.000e+02
2.154e-02	9.000e+02
4.642e-02	9.000e+02
1.000e-01	9.000e+02
2.154e-01	9.000e+02
4.642e-01	9.000e+02
1.000e+00	9.000e+02
2.154e+00	9.000e+02
4.642e+00	9.000e+02
1.000e+01	9.000e+02
2.154e+01	9.000e+02
4.642e+01	9.000e+02
1.000e+02	9.000e+02
2.154e+02	9.000e+02
4.642e+02	9.000e+02
1.000e+03	9.000e+02
1.000e-06	9.500e+02
2.154e-06	9.500e+02
4.642e-06	9.500e+02
1.000e-05	9.500e+02
2.154e-05	9.500e+02
4.642e-05	9.500e+02
1.000e-04	9.500e+02
2.154e-04	9.500e+02
4.642e-04	9.500e+02
1.000e-03	9.500e+02
2.154e-03	9.500e+02
4.642e-03	9.500e+02
1.000e-02	9.500e+02
2.154e-02	9.500e+02
4.642e-02	9.500e+02
1.000e-01	9.500e+02
2.154e-01	9.500e+02
4.642e-01	9.500e+02
1.000e+00	9.500e+02
2.154e+00	9.500e+02
4.642e+00	9.500e+02
1.000e+01	9.500e+02
2.154e+01	9.500e+02
4.642e+01	9.500e+02
1.000e+02	9.500e+02
2.154e+02	9.500e+02
4.642e+02	9.500e+02
1.000e+03	9.500e+02
1.000e-06	1.000e+03
2.154e-06	1.000e+03
4.642e-06	1.000e+03
1.000e-05	1.000e+03
2.154e-05	1.000e+03
4.642e-05	1.000e+03
1.000e-04	1.000e+03
2.154e-04	1.000e+03
4.642e-04	1.000e+03
1.000e-03	1.000e+03
2.154e-03	1.000e+03
4.642e-03	1.000e+03
1.000e-02	1.000e+03
2.154e-02	1.000e+03
4.642e-02	1.000e+03
1.000e-01	1.000e+03
2.154e-01	1.000e+03
4.642e-01	1.000e+03
1.000e+00	1.000e+03
2.154e+00	1.000e+03
4.642e+00	1.000e+03
1.000e+01	1.000e+03
2.154e+01	1.000e+03
4.642e+01	1.000e+03
1.000e+02	1.000e+03
2.154e+02	1.000e+03
4.642e+02	1.000e+03
1.000e+03	1.000e+03
1.000e-06	1.050e+03
2.154e-06	1.050e+03
4.642e-06	1.050e+03
1.000e-05	1.050e+03
2.154e-05	1.050e+03
4.642e-05	1.050e+03
1.000e-04	1.050e+03
2.154e-04	1.050e+03
4.642e-04	1.050e+03
1.000e-03	1.050e+03
2.154e-03	1.050e+03
4.642e-03	1.050e+03
1.000e-02	1.050e+03
2.154e-02	1.050e+03
4.642e-02	1.050e+03
1.000e-01	1.050e+03
2.154e-01	1.050e+03
4.642e-01	1.050e+03
1.000e+00	1.050e+03
2.154e+00	1.050e+03
4.642e+00	1.050e+03
1.000e+01	1.050e+03
2.154e+01	1.050e+03
4.642e+01	1.050e+03
1.000e+02	1.050e+03
2.154e+02	1.050e+03
4.642e+02	1.050e+03
1.000e+03	1.050e+03
1.000e-06	1.100e+03
2.154e-06	1.100e+03
4.642e-06	1.100e+03
1.000e-05	1.100e+03
2.154e-05	1.100e+03
4.642e-05	1.100e+03
1.000e-04	1.100e+03
2.154e-04	1.100e+03
4.642e-04	1.100e+03
1.000e-03	1.100e+03
2.154e-03	1.100e+03
4.642e-03	1.100e+03
1.000e-02	1.100e+03
2.154e-02	1.100e+03
4.642e-02	1.100e+03
1.000e-01	1.100e+03
2.154e-01	1.100e+03
4.642e-01	1.100e+03
1.000e+00	1.100e+03
2.154e+00	1.100e+03
4.642e+00	1.100e+03
1.000e+01	1.100e+03
2.154e+01	1.100e+03
4.642e+01	1.100e+03
1.000e+02	1.100e+03
2.154e+02	1.100e+03
4.642e+02	1.100e+03
1.000e+03	1.100e+03
1.000e-06	1.150e+03
2.154e-06	1.150e+03
4.642e-06	1.150e+03
1.000e-05	1.150e+03
2.154e-05	1.150e+03
4.642e-05	1.150e+03
1.000e-04	1.150e+03
2.154e-04	1.150e+03
4.642e-04	1.150e+03
1.000e-03	1.150e+03
2.154e-03	1.150e+03
4.642e-03	1.150e+03
1.000e-02	1.150e+03
2.154e-02	1.150e+03
4.642e-02	1.150e+03
1.000e-01	1.150e+03
2.154e-01	1.150e+03
4.642e-01	1.150e+03
1.000e+00	1.150e+03
2.154e+00	1.150e+03
4.642e+00	1.150e+03
1.000e+01	1.150e+03
2.154e+01	1.150e+03
4.642e+01	1.150e+03
1.000e+02	1.150e+03
2.154e+02	1.150e+03
4.642e+02	1.150e+03
1.000e+03	1.150e+03
1.000e-06	1.200e+03
2.154e-06	1.200e+03
4.642e-06	1.200e+03
1.000e-05	1.200e+03
2.154e-05	1.200e+03
4.642e-05	1.200e+03
1.000e-04	1.200e+03
2.154e-04	1.200e+03
4.642e-04	1.200e+03
1.000e-03	1.200e+03
2.154e-03	1.200e+03
4.642e-03	1.200e+03
1.000e-02	1.200e+03
2.154e-02	1.200e+03
4.642e-02	1.200e+03
1.000e-01	1.200e+03
2.154e-01	1.200e+03
4.642e-01	1.200e+03
1.000e+00	1.200e+03
2.154e+00	1.200e+03
4.642e+00	1.200e+03
1.000e+01	1.200e+03
2.154e+01	1.200e+03
4.642e+01	1.200e+03
1.000e+02	1.200e+03
2.154e+02	1.200e+03
4.642e+02	1.200e+03
1.000e+03	1.200e+03
1.000e-06	1.250e+03
2.154e-06	1.250e+03
4.642e-06	1.250e+03
1.000e-05	1.250e+03
2.154e-05	1.250e+03
4.642e-05	1.250e+03
1.000e-04	1.250e+03
2.154e-04	1.250e+03
4.642e-04	1.250e+03
1.000e-03	1.250e+03
2.154e-03	1.250e+03
4.642e-03	1.250e+03
1.000e-02	1.250e+03
2.154e-02	1.250e+03
4.642e-02	1.250e+03
1.000e-01	1.250e+03
2.154e-01	1.250e+03
4.642e-01	1.250e+03
1.000e+00	1.250e+03
2.154e+00	1.250e+03
4.642e+00	1.250e+03
1.000e+01	1.250e+03
2.154e+01	1.250e+03
4.642e+01	1.250e+03
1.000e+02	1.250e+03
2.154e+02	1.250e+03
4.642e+02	1.250e+03
1.000e+03	1.250e+03
1.000e-06	1.300e+03
2.154e-06	1.300e+03
4.642e-06	1.300e+03
1.000e-05	1.300e+03
2.154e-05	1.300e+03
4.642e-05	1.300e+03
1.000e-04	1.300e+03
2.154e-04	1.300e+03
4.642e-04	1.300e+03
1.000e-03	1.300e+03
2.154e-03	1.300e+03
4.642e-03	1.300e+03
1.000e-02	1.300e+03
2.154e-02	1.300e+03
4.642e-02	1.300e+03
1.000e-01	1.300e+03
2.154e-01	1.300e+03
4.642e-01	1.300e+03
1.000e+00	1.300e+03
2.154e+00	1.300e+03
4.642e+00	1.300e+03
1.000e+01	1.300e+03
2.154e+01	1.300e+03
4.642e+01	1.300e+03
1.000e+02	1.300e+03
2.154e+02	1.300e+03
4.642e+02	1.300e+03
1.000e+03	1.300e+03
1.000e-06	1.350e+03
2.154e-06	1.350e+03
4.642e-06	1.350e+03
1.000e-05	1.350e+03
2.154e-05	1.350e+03
4.642e-05	1.350e+03
1.000e-04	1.350e+03
2.154e-04	1.350e+03
4.642e-04	1.350e+03
1.000e-03	1.350e+03
2.154e-03	1.350e+03
4.642e-03	1.350e+03
1.000e-02	1.350e+03
2.154e-02	1.350e+03
4.642e-02	1.350e+03
1.000e-01	1.350e+03
2.154e-01	1.350e+03
4.642e-01	1.350e+03
1.000e+00	1.350e+03
2.154e+00	1.350e+03
4.642e+00	1.350e+03
1.000e+01	1.350e+03
2.154e+01	1.350e+03
4.642e+01	1.350e+03
1.000e+02	1.350e+03
2.154e+02	1.350e+03
4.642e+02	1.350e+03
1.000e+03	1.350e+03
1.000e-06	1.400e+03
2.154e-06	1.400e+03
4.642e-06	1.400e+03
1.000e-05	1.400e+03
2.154e-05	1.400e+03
4.642e-05	1.400e+03
1.000e-04	1.400e+03
2.154e-04	1.400e+03
4.642e-04	1.400e+03
1.000e-03	1.400e+03
2.154e-03	1.400e+03
4.642e-03	1.400e+03
1.000e-02	1.400e+03
2.154e-02	1.400e+03
4.642e-02	1.400e+03
1.000e-01	1.400e+03
2.154e-01	1.400e+03
4.642e-01	1.400e+03
1.000e+00	1.400e+03
2.154e+00	1.400e+03
4.642e+00	1.400e+03
1.000e+01	1.400e+03
2.154e+01	1.400e+03
4.642e+01	1.400e+03
1.000e+02	1.400e+03
2.154e+02	1.400e+03
4.642e+02	1.400e+03
1.000e+03	1.400e+03
1.000e-06	1.450e+03
2.154e-06	1.450e+03
4.642e-06	1.450e+03
1.000e-05	1.450e+03
2.154e-05	1.450e+03
4.642e-05	1.450e+03
1.000e-04	1.450e+03
2.154e-04	1.450e+03
4.642e-04	1.450e+03
1.000e-03	1.450e+03
2.154e-03	1.450e+03
4.642e-03	1.450e+03
1.000e-02	1.450e+03
2.154e-02	1.450e+03
4.642e-02	1.450e+03
1.000e-01	1.450e+03
2.154e-01	1.450e+03
4.642e-01	1.450e+03
1.000e+00	1.450e+03
2.154e+00	1.450e+03
4.642e+00	1.450e+03
1.000e+01	1.450e+03
2.154e+01	1.450e+03
4.642e+01	1.450e+03
1.000e+02	1.450e+03
2.154e+02	1.450e+03
4.642e+02	1.450e+03
1.000e+03	1.450e+03
1.000e-06	1.500e+03
2.154e-06	1.500e+03
4.642e-06	1.500e+03
1.000e-05	1.500e+03
2.154e-05	1.500e+03
4.642e-05	1.500e+03
1.000e-04	1.500e+03
2.154e-04	1.500e+03
4.642e-04	1.500e+03
1.000e-03	1.500e+03
2.154e-03	1.500e+03
4.642e-03	1.500e+03
1.000e-02	1.500e+03
2.154e-02	1.500e+03
4.642e-02	1.500e+03
1.000e-01	1.500e+03
2.154e-01	1.500e+03
4.642e-01	1.500e+03
1.000e+00	1.500e+03
2.154e+00	1.500e+03
4.642e+00	1.500e+03
1.000e+01	1.500e+03
2.154e+01	1.500e+03
4.642e+01	1.500e+03
1.000e+02	1.500e+03
2.154e+02	1.500e+03
4.642e+02	1.500e+03
1.000e+03	1.500e+03
1.000e-06	1.550e+03
2.154e-06	1.550e+03
4.642e-06	1.550e+03
1.000e-05	1.550e+03
2.154e-05	1.550e+03
4.642e-05	1.550e+03
1.000e-04	1.550e+03
2.154e-04	1.550e+03
4.642e-04	1.550e+03
1.000e-03	1.550e+03
2.154e-03	1.550e+03
4.642e-03	1.550e+03
1.000e-02	1.550e+03
2.154e-02	1.550e+03
4.642e-02	1.550e+03
1.000e-01	1.550e+03
2.154e-01	1.550e+03
4.642e-01	1.550e+03
1.000e+00	1.550e+03
2.154e+00	1.550e+03
4.642e+00	1.550e+03
1.000e+01	1.550e+03
2.154e+01	1.550e+03
4.642e+01	1.550e+03
1.000e+02	1.550e+03
2.154e+02	1.550e+03
4.642e+02	1.550e+03
1.000e+03	1.550e+03
1.000e-06	1.600e+03
2.154e-06	1.600e+03
4.642e-06	1.600e+03
1.000e-05	1.600e+03
2.154e-05	1.600e+03
4.642e-05	1.600e+03
1.000e-04	1.600e+03
2.154e-04	1.600e+03
4.642e-04	1.600e+03
1.000e-03	1.600e+03
