#p (bar)	T (K)
1.000e-08	2.000e+03
2.154e-08	2.000e+03
4.642e-08	2.000e+03
1.000e-07	2.000e+03
2.154e-07	2.000e+03
4.642e-07	2.000e+03
1.000e-06	2.000e+03
2.154e-06	2.000e+03
4.642e-06	2.000e+03
1.000e-05	2.000e+03
2.154e-05	2.000e+03
4.642e-05	2.000e+03
1.000e-04	2.000e+03
2.154e-04	2.000e+03
4.642e-04	2.000e+03
1.000e-03	2.000e+03
2.154e-03	2.000e+03
4.642e-03	2.000e+03
1.000e-02	2.000e+03
2.154e-02	2.000e+03
4.642e-02	2.000e+03
1.000e-01	2.000e+03
2.154e-01	2.000e+03
4.642e-01	2.000e+03
1.000e+00	2.000e+03
2.154e+00	2.000e+03
4.642e+00	2.000e+03
1.000e+01	2.000e+03
2.154e+01	2.000e+03
4.642e+01	2.000e+03
1.000e+02	2.000e+03
2.154e+02	2.000e+03
4.642e+02	2.000e+03
1.000e+03	2.000e+03
1.000e-08	2.050e+03
2.154e-08	2.050e+03
4.642e-08	2.050e+03
1.000e-07	2.050e+03
2.154e-07	2.050e+03
4.642e-07	2.050e+03
1.000e-06	2.050e+03
2.154e-06	2.050e+03
4.642e-06	2.050e+03
1.000e-05	2.050e+03
2.154e-05	2.050e+03
4.642e-05	2.050e+03
1.000e-04	2.050e+03
2.154e-04	2.050e+03
4.642e-04	2.050e+03
1.000e-03	2.050e+03
2.154e-03	2.050e+03
4.642e-03	2.050e+03
1.000e-02	2.050e+03
2.154e-02	2.050e+03
4.642e-02	2.050e+03
1.000e-01	2.050e+03
2.154e-01	2.050e+03
4.642e-01	2.050e+03
1.000e+00	2.050e+03
2.154e+00	2.050e+03
4.642e+00	2.050e+03
1.000e+01	2.050e+03
2.154e+01	2.050e+03
4.642e+01	2.050e+03
1.000e+02	2.050e+03
2.154e+02	2.050e+03
4.642e+02	2.050e+03
1.000e+03	2.050e+03
1.000e-08	2.100e+03
2.154e-08	2.100e+03
4.642e-08	2.100e+03
1.000e-07	2.100e+03
2.154e-07	2.100e+03
4.642e-07	2.100e+03
1.000e-06	2.100e+03
2.154e-06	2.100e+03
4.642e-06	2.100e+03
1.000e-05	2.100e+03
2.154e-05	2.100e+03
4.642e-05	2.100e+03
1.000e-04	2.100e+03
2.154e-04	2.100e+03
4.642e-04	2.100e+03
1.000e-03	2.100e+03
2.154e-03	2.100e+03
4.642e-03	2.100e+03
1.000e-02	2.100e+03
2.154e-02	2.100e+03
4.642e-02	2.100e+03
1.000e-01	2.100e+03
2.154e-01	2.100e+03
4.642e-01	2.100e+03
1.000e+00	2.100e+03
2.154e+00	2.100e+03
4.642e+00	2.100e+03
1.000e+01	2.100e+03
2.154e+01	2.100e+03
4.642e+01	2.100e+03
1.000e+02	2.100e+03
2.154e+02	2.100e+03
4.642e+02	2.100e+03
1.000e+03	2.100e+03
1.000e-08	2.150e+03
2.154e-08	2.150e+03
4.642e-08	2.150e+03
1.000e-07	2.150e+03
2.154e-07	2.150e+03
4.642e-07	2.150e+03
1.000e-06	2.150e+03
2.154e-06	2.150e+03
4.642e-06	2.150e+03
1.000e-05	2.150e+03
2.154e-05	2.150e+03
4.642e-05	2.150e+03
1.000e-04	2.150e+03
2.154e-04	2.150e+03
4.642e-04	2.150e+03
1.000e-03	2.150e+03
2.154e-03	2.150e+03
4.642e-03	2.150e+03
1.000e-02	2.150e+03
2.154e-02	2.150e+03
4.642e-02	2.150e+03
1.000e-01	2.150e+03
2.154e-01	2.150e+03
4.642e-01	2.150e+03
1.000e+00	2.150e+03
2.154e+00	2.150e+03
4.642e+00	2.150e+03
1.000e+01	2.150e+03
2.154e+01	2.150e+03
4.642e+01	2.150e+03
1.000e+02	2.150e+03
2.154e+02	2.150e+03
4.642e+02	2.150e+03
1.000e+03	2.150e+03
1.000e-08	2.200e+03
2.154e-08	2.200e+03
4.642e-08	2.200e+03
1.000e-07	2.200e+03
2.154e-07	2.200e+03
4.642e-07	2.200e+03
1.000e-06	2.200e+03
2.154e-06	2.200e+03
4.642e-06	2.200e+03
1.000e-05	2.200e+03
2.154e-05	2.200e+03
4.642e-05	2.200e+03
1.000e-04	2.200e+03
2.154e-04	2.200e+03
4.642e-04	2.200e+03
1.000e-03	2.200e+03
2.154e-03	2.200e+03
4.642e-03	2.200e+03
1.000e-02	2.200e+03
2.154e-02	2.200e+03
4.642e-02	2.200e+03
1.000e-01	2.200e+03
2.154e-01	2.200e+03
4.642e-01	2.200e+03
1.000e+00	2.200e+03
2.154e+00	2.200e+03
4.642e+00	2.200e+03
1.000e+01	2.200e+03
2.154e+01	2.200e+03
4.642e+01	2.200e+03
1.000e+02	2.200e+03
2.154e+02	2.200e+03
4.642e+02	2.200e+03
1.000e+03	2.200e+03
1.000e-08	2.250e+03
2.154e-08	2.250e+03
4.642e-08	2.250e+03
1.000e-07	2.250e+03
2.154e-07	2.250e+03
4.642e-07	2.250e+03
1.000e-06	2.250e+03
2.154e-06	2.250e+03
4.642e-06	2.250e+03
1.000e-05	2.250e+03
2.154e-05	2.250e+03
4.642e-05	2.250e+03
1.000e-04	2.250e+03
2.154e-04	2.250e+03
4.642e-04	2.250e+03
1.000e-03	2.250e+03
2.154e-03	2.250e+03
4.642e-03	2.250e+03
1.000e-02	2.250e+03
2.154e-02	2.250e+03
4.642e-02	2.250e+03
1.000e-01	2.250e+03
2.154e-01	2.250e+03
4.642e-01	2.250e+03
1.000e+00	2.250e+03
2.154e+00	2.250e+03
4.642e+00	2.250e+03
1.000e+01	2.250e+03
2.154e+01	2.250e+03
4.642e+01	2.250e+03
1.000e+02	2.250e+03
2.154e+02	2.250e+03
4.642e+02	2.250e+03
1.000e+03	2.250e+03
1.000e-08	2.300e+03
2.154e-08	2.300e+03
4.642e-08	2.300e+03
1.000e-07	2.300e+03
2.154e-07	2.300e+03
4.642e-07	2.300e+03
1.000e-06	2.300e+03
2.154e-06	2.300e+03
4.642e-06	2.300e+03
1.000e-05	2.300e+03
2.154e-05	2.300e+03
4.642e-05	2.300e+03
1.000e-04	2.300e+03
2.154e-04	2.300e+03
4.642e-04	2.300e+03
1.000e-03	2.300e+03
2.154e-03	2.300e+03
4.642e-03	2.300e+03
1.000e-02	2.300e+03
2.154e-02	2.300e+03
4.642e-02	2.300e+03
1.000e-01	2.300e+03
2.154e-01	2.300e+03
4.642e-01	2.300e+03
1.000e+00	2.300e+03
2.154e+00	2.300e+03
4.642e+00	2.300e+03
1.000e+01	2.300e+03
2.154e+01	2.300e+03
4.642e+01	2.300e+03
1.000e+02	2.300e+03
2.154e+02	2.300e+03
